g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	g15	g16	g17	g18	g19	g20	
5008	4640	4548	4515	4497	4477	4403	4371	4324	4273	4006	4001	3998	3970	3968	3959	3957	3948	3922	3922	
5316	4841	4756	4737	4686	4647	4600	4549	4508	4498	4491	4211	4170	4160	4151	3970	3970	3964	3925	3922	
5342	4957	4863	4795	4753	4732	4669	4657	4600	4588	4287	4049	4012	3982	3977	3967	3965	3930	3922	3922	
5176	4968	4615	4590	4520	4456	4429	4413	4368	4336	4332	4052	4010	4007	4003	3994	3966	3928	3924	3922	
5657	4978	4789	4716	4597	4549	4503	4486	4469	4460	4456	4254	4240	4232	4187	4184	3928	3927	3925	3922	
5259	4680	4588	4493	4465	4440	4434	4139	4105	4067	4065	4055	4035	3998	3971	3966	3965	3927	3924	3922	
5202	4633	4573	4485	4222	4155	4142	4106	4065	4035	3984	3983	3975	3968	3957	3944	3934	3929	3928	3922	
5342	4853	4565	4514	4494	4482	4475	4448	4426	4371	4345	4062	4009	3994	3982	3977	3949	3928	3924	3922	
5259	4619	4548	4497	4405	4397	4379	4368	4353	4319	4254	4250	4212	4167	4149	4146	4140	4100	4098	3922	
5259	4964	4846	4469	4440	4323	4253	4242	4227	4184	4173	4171	4156	3973	3971	3962	3935	3927	3925	3922	
5259	4895	4791	4730	4714	4618	4552	4538	4526	4507	4495	4446	4442	4423	4420	4410	4221	3964	3960	3922	
5259	4964	4815	4690	4651	4636	4315	4271	4268	4260	4251	4236	4170	4157	4153	4144	3958	3958	3956	3922	
5316	5010	4584	4526	4429	4332	4322	4277	4265	4261	4065	4014	4009	3972	3962	3956	3950	3937	3931	3922	
5342	4968	4765	4720	4374	4350	4319	4313	4299	4286	4249	4237	4202	4184	4181	4179	4137	4133	3956	3922	
5137	4838	4737	4668	4607	4557	4538	4324	4047	4042	4024	4022	3995	3956	3954	3945	3943	3933	3930	3922	
5286	4959	4897	4849	4788	4636	4609	4602	4586	4573	4516	4492	4452	4449	4445	4401	4365	4362	4175	3922	
5151	4856	4815	4749	4737	4712	4694	4369	4266	4252	4210	4202	4189	4154	4142	4140	4129	4099	3923	3922	
5110	4822	4781	4668	4614	4297	4282	4265	4242	4231	4223	4221	4209	4174	4130	4124	3943	3941	3934	3922	
5151	4846	4805	4740	4704	4683	4569	4562	4523	4478	4418	4414	4405	4139	4131	4120	3941	3940	3928	3922	
5222	4605	4537	4490	4371	4362	4306	4270	4228	4223	4033	4026	4016	4000	3972	3972	3966	3964	3925	3922	
