g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	g15	g16	g17	g18	g19	g20	
5008	5620	5786	5957	6194	6408	6583	6750	7258	7413	7790	7883	8004	8103	8216	8256	8400	8512	8578	8666	
5316	5612	5779	5993	6213	6327	6397	6916	7064	7196	7310	7674	7776	7907	7945	8125	8215	8378	8511	8666	
5342	5603	5765	5903	6123	6346	6872	7016	7178	7303	7668	7870	7978	8045	8141	8260	8403	8540	8578	8666	
5176	5449	5724	5923	6509	6620	6809	7007	7065	7229	7397	7770	7916	8007	8167	8285	8436	8568	8649	8666	
5657	6021	6226	6419	6573	6676	6881	7000	7134	7175	7285	7465	7638	7815	7952	7970	8326	8412	8555	8666	
5259	5587	5853	6054	6194	6415	6587	6990	7110	7178	7279	7320	7413	7893	8028	8188	8275	8412	8525	8666	
5202	5855	6095	6180	6407	6586	6778	6902	7403	7527	7673	7781	7823	7919	8044	8129	8293	8455	8541	8666	
5342	5626	5877	6022	6189	6366	6495	6636	6754	7259	7435	7801	7941	8026	8156	8324	8390	8444	8525	8666	
5259	5842	6009	6231	6467	6604	6795	6897	6994	7132	7194	7324	7805	7946	8032	8183	8347	8479	8496	8666	
5259	5517	6164	6608	6731	6915	7077	7264	7443	7552	7651	7755	7839	8015	8133	8172	8238	8370	8511	8666	
5259	5605	5871	6008	6209	6338	6505	6615	6659	6791	6931	7429	7530	7667	7684	7853	8027	8378	8536	8666	
5259	5517	5814	6018	6206	6335	6733	7241	7406	7510	7686	7773	7878	8048	8208	8246	8422	8514	8531	8666	
5316	5648	6122	6280	6496	6667	6808	6930	6973	6993	7183	7332	7435	7913	8044	8134	8299	8380	8505	8666	
5342	5550	5791	5965	6401	6520	6690	6825	7021	7166	7232	7411	7469	7558	7711	7813	7950	8035	8207	8666	
5137	5540	5817	6061	6609	6780	6982	7169	7547	7714	7815	7967	8070	8210	8299	8419	8436	8517	8628	8666	
5286	5568	5782	5930	6124	6325	6533	6713	6818	6914	7072	7157	7337	7357	7511	7985	8040	8153	8324	8666	
5151	5492	5680	5827	6037	6178	6382	6795	6973	7070	7562	7734	7864	7920	8086	8229	8344	8410	8580	8666	
5110	5466	5732	5931	6496	6894	7062	7167	7298	7340	7515	7627	7795	7969	8109	8274	8445	8462	8588	8666	
5151	5557	5844	6430	6613	6810	6948	7071	7161	7353	7492	7511	7690	8046	8086	8172	8343	8429	8541	8666	
5222	5819	6032	6255	6411	6580	6741	6842	7345	7447	7634	7731	7771	7908	7975	8067	8234	8378	8511	8666	
