g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	g15	g16	
5315	5628	5887	6199	6460	6674	6835	6872	7017	7153	7350	7472	7610	7639	7817	8019	
5333	5735	5913	6164	6396	6439	6575	6793	6959	7026	7217	7401	7552	7668	7903	8019	
5476	5806	6050	6102	6337	6568	6707	6914	7113	7343	7474	7619	7745	7893	7990	8019	
5453	5770	6065	6229	6379	6509	6699	6932	7127	7286	7420	7540	7637	7814	7955	8019	
5375	5763	6035	6242	6461	6596	6725	6866	7064	7260	7444	7550	7575	7722	7955	8019	
5320	5667	5889	6040	6236	6400	6606	6810	6975	7004	7124	7329	7507	7604	7838	8019	
5455	5659	5922	6234	6421	6606	6753	6794	6922	7038	7166	7407	7471	7663	7846	8019	
5447	5704	5866	6109	6249	6355	6524	6760	6911	7057	7244	7433	7462	7702	7879	8019	
5453	5739	6058	6280	6433	6648	6816	6966	7099	7252	7394	7517	7720	7749	7922	8019	
5377	5692	5913	6184	6473	6605	6848	6877	6942	7142	7277	7389	7540	7659	7843	8019	
5333	5627	5804	5980	6205	6430	6638	6891	6918	6984	7140	7378	7593	7706	7894	8019	
5455	5738	5918	6210	6437	6646	6801	6926	7174	7200	7390	7581	7709	7774	7922	8019	
5416	5674	5993	6146	6365	6533	6730	6846	7066	7264	7459	7601	7698	7814	7955	8019	
5319	5580	5807	6049	6279	6454	6608	6638	6850	7034	7253	7405	7504	7601	7834	8019	
5377	5712	6038	6301	6448	6676	6869	7000	7134	7330	7484	7635	7733	7830	7894	8019	
5377	5599	5807	6041	6273	6538	6699	6920	7073	7261	7496	7679	7779	7805	7990	8019	
5447	5666	5919	6137	6276	6434	6637	6909	7138	7246	7402	7499	7687	7814	7955	8019	
5455	5704	5970	6159	6408	6604	6809	7059	7175	7332	7474	7503	7684	7797	7922	8019	
5375	5663	5892	6129	6272	6517	6591	6803	7001	7159	7350	7465	7593	7690	7787	8019	
5447	5704	5878	6059	6090	6306	6471	6679	6925	7084	7192	7403	7500	7655	7843	8019	
