g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	g15	g16	
5315	5064	5011	4969	4950	4942	4930	4929	4921	4916	4914	4908	4896	4895	4890	4890	
5333	5074	5018	5013	5004	5003	4990	4984	4974	4962	4954	4926	4916	4908	4892	4890	
5476	5112	5018	5016	4973	4965	4948	4939	4934	4933	4919	4907	4905	4897	4891	4890	
5453	5130	5050	5012	4994	4986	4961	4961	4953	4952	4947	4944	4933	4907	4899	4890	
5375	5088	5059	5018	4980	4972	4963	4947	4945	4939	4934	4927	4926	4916	4899	4890	
5320	5106	5030	5005	4990	4986	4973	4963	4961	4960	4946	4946	4917	4910	4894	4890	
5455	5115	5078	5036	4999	4983	4968	4967	4962	4953	4951	4931	4919	4918	4914	4890	
5447	5118	5062	5052	5032	5005	4979	4975	4968	4953	4945	4944	4943	4922	4898	4890	
5453	5130	5056	5047	5015	4998	4972	4958	4952	4942	4924	4922	4922	4921	4896	4890	
5377	5063	5029	5012	4975	4970	4951	4950	4939	4934	4920	4913	4905	4899	4895	4890	
5333	5084	5038	5032	4990	4979	4970	4944	4943	4933	4923	4906	4905	4898	4895	4890	
5455	5095	5058	5014	5007	4999	4991	4982	4959	4958	4932	4926	4913	4904	4896	4890	
5416	5117	5041	5014	4979	4970	4943	4938	4937	4932	4931	4930	4913	4907	4899	4890	
5319	5114	5069	5013	4999	4969	4937	4936	4930	4923	4922	4921	4914	4907	4891	4890	
5377	5081	5015	5008	4999	4995	4991	4973	4967	4953	4936	4927	4913	4904	4895	4890	
5377	5097	5069	5024	5012	4983	4967	4965	4950	4921	4904	4899	4893	4892	4891	4890	
5447	5096	5061	5021	5001	4995	4960	4931	4929	4926	4925	4915	4912	4907	4899	4890	
5455	5126	5094	5045	5025	5004	4993	4965	4951	4942	4941	4940	4915	4901	4896	4890	
5375	5089	5042	5004	4996	4988	4964	4959	4952	4951	4948	4933	4920	4913	4906	4890	
5447	5091	5037	4996	4994	4953	4949	4947	4927	4917	4910	4909	4902	4896	4895	4890	
