	(=)	c	k	m	n	j	e	o	x	i	p	u
7G8-2019	3674	17	1411	52	7	158	10	86	12	21	49	92
7G8	3836	26	1367	70	13	128	3	55	5	6	42	68
CD01	3710	35	1371	140	13	142	7	44	3	6	26	80
Dd2	3806	28	1353	53	8	121	6	30	7	6	42	70
GA01	3835	34	1359	123	13	121	7	44	4	8	43	81
GB4	3921	34	1378	85	8	124	5	23	7	6	37	82
GN01	3855	29	1370	108	9	146	3	30	6	6	33	89
HB3	3821	28	1366	76	9	126	6	25	6	6	41	69
IT	3967	33	1356	51	8	129	1	16	1	3	33	60
KE01	3883	37	1363	51	7	113	3	20	4	6	44	80
KH01	3799	26	1358	139	11	133	4	44	6	6	43	80
KH02	3878	31	1367	77	10	131	2	23	5	6	42	80
ML01	3506	31	1396	301	30	195	16	130	7	7	42	98
NF54	3903	10	1400	35	11	119	7	78	16	20	55	126
NF135.C10	3590	37	1370	55	23	166	8	140	75	16	50	131
NF166	3718	16	1405	45	8	159	6	96	19	21	51	122
SD01	3765	29	1360	120	13	138	6	26	6	6	43	79
SN01	3920	30	1372	40	7	129	5	31	6	6	47	79
TG01	3847	26	1387	138	15	145	5	51	8	7	50	80
