RIFIN-B.hmm 	PfHB3_000006500 	1.4e-104 	338.0 	2e-59 	189.6	
RIFIN-A.hmm 	PfHB3_000006500 	1.5e-143 	466.4 	1.7e-143 	466.2	
STEVOR1.hmm 	PfHB3_000006500 	3.6e-07 	17.6 	3.6e-07 	17.6	
STEVOR1.hmm 	PfHB3_000006700 	2.1e-13 	38.1 	2.8e-09 	24.6	
RIFIN-A.hmm 	PfHB3_000006700 	3.1e-98 	317.4 	1.5e-52 	167.1	
RIFIN-B.hmm 	PfHB3_000006700 	3.3e-139 	451.7 	3.7e-139 	451.6	
STEVOR1.hmm 	PfHB3_000006900 	1.3e-47 	150.4 	1.6e-47 	150.1	
RIFIN-B.hmm 	PfHB3_000006900 	2.3e-05 	11.9 	1.3e-06 	16.0	
RIFIN-A.hmm 	PfHB3_000006900 	2.6e-07 	18.3 	2.6e-07 	18.3	
STEVOR1.hmm 	PfHB3_000007000 	1.6e-14 	41.7 	8.1e-12 	32.9	
RIFIN-A.hmm 	PfHB3_000007000 	4.9e-127 	412.1 	5.5e-127 	411.9	
RIFIN-B.hmm 	PfHB3_000007000 	4.9e-93 	300.0 	1.2e-52 	167.3	
RIFIN-A.hmm 	PfHB3_000008600 	1.3e-143 	466.6 	1.5e-143 	466.4	
STEVOR1.hmm 	PfHB3_000008600 	1.6e-11 	32.0 	1.1e-07 	19.3	
RIFIN-B.hmm 	PfHB3_000008600 	2.8e-107 	346.8 	4.8e-59 	188.3	
RIFIN-A.hmm 	PfHB3_000011300 	3.2e-106 	343.6 	2.3e-58 	186.3	
STEVOR1.hmm 	PfHB3_000011300 	4.2e-16 	47.0 	4.8e-11 	30.3	
RIFIN-B.hmm 	PfHB3_000011300 	5.2e-139 	451.1 	5.8e-139 	450.9	
RIFIN-A.hmm 	PfHB3_010005500 	1.1e-148 	483.3 	1.2e-148 	483.1	
RIFIN-B.hmm 	PfHB3_010005500 	3.8e-97 	313.5 	2.2e-52 	166.4	
STEVOR1.hmm 	PfHB3_010005500 	5.9e-09 	23.5 	2.8e-07 	18.0	
RIFIN-B.hmm 	PfHB3_010005700 	2.3e-15 	44.8 	3.3e-12 	34.4	
STEVOR1.hmm 	PfHB3_010005700 	2.6e-164 	533.6 	3e-164 	533.5	
RIFIN-A.hmm 	PfHB3_010005700 	6.5e-14 	40.1 	9.3e-10 	26.4	
RIFIN-B.hmm 	PfHB3_010005800 	1.2e-139 	453.1 	1.4e-139 	453.0	
STEVOR1.hmm 	PfHB3_010005800 	3.7e-11 	30.7 	5e-08 	20.4	
RIFIN-A.hmm 	PfHB3_010005800 	4e-118 	382.7 	4.6e-64 	205.0	
RIFIN-A.hmm 	PfHB3_010005900 	2.4e-150 	488.7 	2.7e-150 	488.6	
STEVOR1.hmm 	PfHB3_010005900 	2e-15 	44.7 	1.9e-10 	28.4	
RIFIN-B.hmm 	PfHB3_010005900 	3.6e-107 	346.4 	1.4e-57 	183.5	
RIFIN-A.hmm 	PfHB3_010006000 	1.2e-153 	499.6 	1.4e-153 	499.4	
