Unnamed: 0.1	Gene ID	Genome	Chromosome	Start Position	End Position	Product Description	Cluster	Occupancy	Genes in cluster	Number of genes unmapped	Percentage of genes unmapped	Location
0	Pf7G8-2_000005800	7G8-2019	VBRD01000007.1	10511	11724	Rifin/stevor family, putative	Pf7G8-2_000005800	2	Pf7G8_000005100, Pf7G8-2_000005800	1	50.0	Subtelomeric/Variable
1	Pf7G8-2_000006300	7G8-2019	VBRD01000016.1	7948	16977	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000006300	2	Pf7G8_120005400, Pf7G8-2_000006300	2	100.0	Subtelomeric/Variable
2	Pf7G8-2_000006400	7G8-2019	VBRD01000016.1	18851	20194	Rifin/stevor family, putative	Pf7G8-2_000006400	2	Pf7G8_120005500, Pf7G8-2_000006400	2	100.0	Subtelomeric/Variable
3	Pf7G8-2_000025000	7G8-2019	VBRD01000016.1	742519	751543	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000025000	2	Pf7G8_120024100, Pf7G8-2_000025000	2	100.0	Core
4	Pf7G8-2_000035500	7G8-2019	VBRD01000001.1	51973	64489	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000035500	3	Pf7G8_010005600, Pf7G8-2_000035500, PfGB4_100004900	2	66.66666666666666	Subtelomeric/Variable
5	Pf7G8-2_000035800	7G8-2019	VBRD01000001.1	73513	74721	Rifin/stevor family, putative	PfDd2_140083700	3	PfDd2_140083700, Pf7G8_010005900, Pf7G8-2_000035800	2	66.66666666666666	Subtelomeric/Variable
6	Pf7G8-2_000036000	7G8-2019	VBRD01000001.1	79273	80367	Rifin/stevor family, putative	Pf7G8-2_000036000	6	Pf7G8_010006100, PfHB3_010006100, Pf7G8-2_000036000, PfKH01_010007100, PfGN01_140084600, PfCD01_140084500	3	50.0	Subtelomeric/Variable
7	Pf7G8-2_000069100	7G8-2019	VBRD01000003.1	860254	860916	hypothetical protein	PfDd2_020024500	3	PfDd2_020024500, Pf7G8_020026400, Pf7G8-2_000069100	1	33.33333333333333	Core
8	Pf7G8-2_000069500:pseudogene	7G8-2019	VBRD01000003.1	871043	871944	Rifin/stevor family, putative	Pf7G8-2_000069500:pseudogene	1	Pf7G8-2_000069500:pseudogene	1	100.0	Subtelomeric/Variable
9	Pf7G8-2_000069700	7G8-2019	VBRD01000004.1	29445	39915	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000069700	2	Pf7G8_030005900, Pf7G8-2_000069700	2	100.0	Subtelomeric/Variable
10	Pf7G8-2_000069900	7G8-2019	VBRD01000004.1	46824	48005	rifin	PfDd2_130078300	4	PfDd2_130078300, Pf7G8_030006100, PfIT_120059900, Pf7G8-2_000069900	4	100.0	Subtelomeric/Variable
11	Pf7G8-2_000105800	7G8-2019	VBRD01000005.1	516881	522412	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000105800	3	Pf7G8_040017600, Pf7G8-2_000105800, PfGB4_040017800	2	66.66666666666666	Subtelomeric/Variable
12	Pf7G8-2_000113600	7G8-2019	VBRD01000005.1	873222	881088	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000113600	4	Pf7G8_040025600, PfKE01_040027600, Pf7G8-2_000113600, PfKH01_000028300	4	100.0	Core
13	Pf7G8-2_000118600	7G8-2019	VBRD01000005.1	1078659	1089016	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000118600	4	Pf7G8_040030800, PfIT_080005000, Pf7G8-2_000118600, PfNF166_050005600	2	50.0	Subtelomeric/Variable
14	Pf7G8-2_000119900	7G8-2019	VBRD01000006.1	58787	60043	Rifin/stevor family, putative	Pf7G8-2_000119900	2	Pf7G8_050006000, Pf7G8-2_000119900	2	100.0	Subtelomeric/Variable
15	Pf7G8-2_000120000:pseudogene	7G8-2019	VBRD01000006.1	62160	63035	Rifin/stevor family, putative	Pf7G8-2_000120000:pseudogene	4	Pf7G8_050006100, PfIT_050006000, Pf7G8-2_000120000:pseudogene, PfGN01_050005700	3	75.0	Subtelomeric/Variable
16	Pf7G8-2_000152100	7G8-2019	VBRD01000006.1	1377443	1378595	Rifin/stevor family, putative	Pf7G8-2_000152100	2	Pf7G8_050038000, Pf7G8-2_000152100	2	100.0	Subtelomeric/Variable
17	Pf7G8-2_000152500	7G8-2019	VBRD01000006.1	1399364	1409488	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000152500	2	Pf7G8_050038400, Pf7G8-2_000152500	2	100.0	Subtelomeric/Variable
18	Pf7G8-2_000153000	7G8-2019	VBRD01000009.1	10099	11351	Rifin/stevor family, putative	Pf7G8-2_000153000	2	Pf7G8_060005600, Pf7G8-2_000153000	2	100.0	Subtelomeric/Variable
19	Pf7G8-2_000169900	7G8-2019	VBRD01000008.1	673589	681994	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000169900	7	Pf7G8_060022500, PfHB3_060021800, PfIT_060021400, PfKH02_060023700, Pf7G8-2_000169900, PfKH01_060024600, PfGN01_060023300	6	85.71428571428571	Core
20	Pf7G8-2_000183800	7G8-2019	VBRD01000002.1	43332	44423	rifin	Pf7G8-2_000183800	1	Pf7G8-2_000183800	1	100.0	Subtelomeric/Variable
21	Pf7G8-2_000185000	7G8-2019	VBRD01000010.1	56825	57636	hypothetical protein	Pf7G8-2_000185000	4	Pf7G8_070006000, PfIT_060036200, Pf7G8-2_000185000, PfCD01_000008100	4	100.0	Subtelomeric/Variable
22	Pf7G8-2_000185800	7G8-2019	VBRD01000010.1	92907	94140	rifin	Pf7G8-2_000185800	2	Pf7G8_070006900, Pf7G8-2_000185800	2	100.0	Subtelomeric/Variable
23	Pf7G8-2_000195900	7G8-2019	VBRD01000010.1	538931	548994	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000195900	5	Pf7G8_070017100, PfKE01_070015300, Pf7G8-2_000195900, PfKH01_080013900, PfCD01_070015600	4	80.0	Core
24	Pf7G8-2_000196300	7G8-2019	VBRD01000010.1	580819	581940	rifin	Pf7G8-2_000196300	7	Pf7G8_070017800, PfKH02_040026200, PfKE01_040019200, Pf7G8-2_000196300, PfGB4_070017400, PfKH01_070016000, PfCD01_070016600	4	57.14285714285714	Subtelomeric/Variable
25	Pf7G8-2_000196400	7G8-2019	VBRD01000010.1	583857	585111	Rifin/stevor family, putative	Pf7G8-2_000196400	7	Pf7G8_070017900, PfKE01_040019300, Pf7G8-2_000196400, PfGB4_070017500, PfKH01_070016100, PfCD01_070016700, PfNF166_070016500	2	28.57142857142857	Subtelomeric/Variable
26	Pf7G8-2_000216000	7G8-2019	VBRD01000011.1	34660	43265	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000216000	3	Pf7G8_080005400, PfHB3_010019600, Pf7G8-2_000216000	3	100.0	Subtelomeric/Variable
27	Pf7G8-2_000224300	7G8-2019	VBRD01000011.1	437946	447844	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000224300	2	Pf7G8_080013900, Pf7G8-2_000224300	2	100.0	Subtelomeric/Variable
28	Pf7G8-2_000248000:pseudogene	7G8-2019	VBRD01000011.1	1421205	1422209	Rifin/stevor family, putative	PfDd2_050005200	4	PfDd2_050005200, Pf7G8_080038100, Pf7G8-2_000248000:pseudogene, PfKH01_010006200	2	50.0	Subtelomeric/Variable
29	Pf7G8-2_000248100:pseudogene	7G8-2019	VBRD01000011.1	1424582	1425556	Rifin/stevor family, putative	Pf7G8-2_000248100:pseudogene	4	Pf7G8_080038200, PfKH02_110005800, Pf7G8-2_000248100:pseudogene, PfKH01_010006100	1	25.0	Subtelomeric/Variable
30	Pf7G8-2_000248900	7G8-2019	VBRD01000012.1	49057	56376	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000248900	2	Pf7G8_090005600, Pf7G8-2_000248900	2	100.0	Subtelomeric/Variable
31	Pf7G8-2_000249600:pseudogene	7G8-2019	VBRD01000012.1	77557	78294	Rifin/stevor family, putative	PfDd2_090006800	8	PfDd2_090006800, Pf7G8_090006300, PfIT_090006200, PfKH02_090006500, PfKE01_090006100, Pf7G8-2_000249600:pseudogene, PfGN01_090006400, PfSN01_090006200	1	12.5	Subtelomeric/Variable
32	Pf7G8-2_000285500	7G8-2019	VBRD01000012.1	1478357	1479450	Rifin/stevor family, putative	PfDd2_090042600	9	PfDd2_090042600, Pf7G8_090042400, PfHB3_000011300, PfKH02_090042400, Pf7G8-2_000285500, PfGB4_000010700, PfKH01_090041700, PfCD01_090042000, PfNF166_090041600	5	55.55555555555556	Subtelomeric/Variable
33	Pf7G8-2_000285800	7G8-2019	VBRD01000012.1	1488512	1498372	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000285800	2	Pf7G8_090042800, Pf7G8-2_000285800	2	100.0	Subtelomeric/Variable
34	Pf7G8-2_000286400	7G8-2019	VBRD01000013.1	4262	4898	hypothetical protein	Pf7G8-2_000286400	2	Pf7G8_100005100, Pf7G8-2_000286400	2	100.0	Core
35	Pf7G8-2_000320500	7G8-2019	VBRD01000013.1	1347379	1351461	S-antigen	Pf7G8-2_000320500	2	Pf7G8_100039500, Pf7G8-2_000320500	2	100.0	Core
36	Pf7G8-2_000324700	7G8-2019	VBRD01000015.1	6589	7794	Rifin/stevor family, putative	Pf7G8-2_000324700	2	Pf7G8_110005100, Pf7G8-2_000324700	2	100.0	Subtelomeric/Variable
37	Pf7G8-2_000389800	7G8-2019	VBRD01000017.1	784207	793989	erythrocyte membrane protein 1, PfEMP1	PfDd2_120045300	4	PfDd2_120045300, Pf7G8_120045800, PfKH02_040017600, Pf7G8-2_000389800	3	75.0	Subtelomeric/Variable
38	Pf7G8-2_000390300	7G8-2019	VBRD01000017.1	829006	836672	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000390300	2	Pf7G8_120046600, Pf7G8-2_000390300	2	100.0	Subtelomeric/Variable
39	Pf7G8-2_000403400	7G8-2019	VBRD01000017.1	1319725	1331301	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000403400	2	Pf7G8_120060000, Pf7G8-2_000403400	2	100.0	Subtelomeric/Variable
