RIFIN-B.hmm 	PfNF54_010005700 	1.4e-104 	338.0 	2.1e-58 	186.2	
RIFIN-A.hmm 	PfNF54_010005700 	1.4e-149 	486.2 	1.6e-149 	486.0	
STEVOR1.hmm 	PfNF54_010005700 	7.8e-13 	36.2 	1.4e-08 	22.3	
RIFIN-B.hmm 	PfNF54_010005900 	1.1e-102 	331.7 	2.1e-54 	173.0	
RIFIN-A.hmm 	PfNF54_010005900 	2.1e-151 	492.2 	2.4e-151 	492.0	
STEVOR1.hmm 	PfNF54_010005900 	5.3e-13 	36.8 	2.9e-08 	21.2	
RIFIN-B.hmm 	PfNF54_010006000 	2.5e-134 	435.7 	2.9e-134 	435.5	
RIFIN-A.hmm 	PfNF54_010006000 	4.2e-93 	300.5 	1.6e-58 	186.8	
STEVOR1.hmm 	PfNF54_010006000 	8.1e-14 	39.5 	2.1e-09 	25.0	
RIFIN-B.hmm 	PfNF54_010006200 	1.4e-100 	324.8 	3.4e-53 	169.1	
STEVOR1.hmm 	PfNF54_010006200 	1e-13 	39.1 	1.2e-10 	29.1	
RIFIN-A.hmm 	PfNF54_010006200 	5.4e-135 	438.2 	6.1e-135 	438.1	
RIFIN-A.hmm 	PfNF54_010006300 	1.1e-145 	473.4 	1.2e-145 	473.2	
RIFIN-B.hmm 	PfNF54_010006300 	5e-100 	323.0 	7.3e-53 	168.0	
STEVOR1.hmm 	PfNF54_010006300 	7.2e-08 	19.9 	6.6e-07 	16.7	
STEVOR1.hmm 	PfNF54_010006400 	1.5e-15 	45.1 	6.6e-12 	33.2	
RIFIN-B.hmm 	PfNF54_010006400 	2.3e-96 	310.9 	3.5e-50 	159.2	
RIFIN-A.hmm 	PfNF54_010006400 	7.7e-134 	434.4 	8.7e-134 	434.3	
RIFIN-B.hmm 	PfNF54_010006800 	1.6e-106 	344.3 	2.8e-59 	189.0	
STEVOR1.hmm 	PfNF54_010006800 	5.5e-09 	23.6 	5.6e-08 	20.3	
RIFIN-A.hmm 	PfNF54_010006800 	6.6e-158 	513.6 	7.4e-158 	513.4	
STEVOR1.hmm 	PfNF54_010007000 	1e-160 	521.8 	1.3e-160 	521.5	
RIFIN-A.hmm 	PfNF54_010007000 	2.2e-08 	21.9 	8.1e-07 	16.7	
RIFIN-B.hmm 	PfNF54_010007000 	7e-11 	30.0 	2.2e-09 	25.1	
RIFIN-B.hmm 	PfNF54_010007100 	1.8e-149 	485.4 	2.1e-149 	485.3	
STEVOR1.hmm 	PfNF54_010007100 	2.1e-14 	41.4 	2.6e-10 	27.9	
RIFIN-A.hmm 	PfNF54_010007100 	3e-103 	333.9 	9.7e-63 	200.6	
STEVOR1.hmm 	PfNF54_010007300 	6.2e-59 	187.6 	1.1e-58 	186.8	
STEVOR1.hmm 	PfNF54_010019100 	1.2e-14 	42.1 	3.1e-09 	24.4	
RIFIN-B.hmm 	PfNF54_010019100 	1.9e-133 	432.8 	2.1e-133 	432.7	
RIFIN-A.hmm 	PfNF54_010019100 	3e-92 	297.7 	4.3e-54 	172.2	
STEVOR1.hmm 	PfNF54_010019700 	1.2e-08 	22.5 	1.1e-07 	19.4	
RIFIN-B.hmm 	PfNF54_010019700 	6e-96 	309.6 	2.1e-51 	163.2	
RIFIN-A.hmm 	PfNF54_010019700 	7.1e-152 	493.7 	8e-152 	493.6	
STEVOR1.hmm 	PfNF54_010019800 	1.3e-09 	25.6 	1.3e-09 	25.6	
RIFIN-B.hmm 	PfNF54_010019800 	1e-146 	476.4 	1.2e-146 	476.2	
RIFIN-A.hmm 	PfNF54_010019800 	3e-100 	324.0 	9.5e-61 	194.1	
STEVOR1.hmm 	PfNF54_010019900 	2.1e-168 	547.1 	2.3e-168 	547.0	
RIFIN-A.hmm 	PfNF54_010019900 	5.4e-13 	37.0 	1.2e-09 	26.1	
RIFIN-B.hmm 	PfNF54_010019900 	6.2e-14 	40.1 	1.9e-11 	31.9	
STEVOR1.hmm 	PfNF54_010020100 	1.7e-14 	41.7 	2.8e-09 	24.6	
RIFIN-B.hmm 	PfNF54_010020100 	2.4e-111 	360.2 	1.8e-61 	196.3	
RIFIN-A.hmm 	PfNF54_010020100 	5.4e-155 	504.0 	6.1e-155 	503.8	
RIFIN-A.hmm 	PfNF54_020005200 	1.1e-138 	450.4 	1.2e-138 	450.2	
RIFIN-B.hmm 	PfNF54_020005200 	4.1e-110 	356.1 	9.1e-60 	190.7	
STEVOR1.hmm 	PfNF54_020005200 	4.2e-15 	43.7 	2.4e-09 	24.8	
RIFIN-A.hmm 	PfNF54_020005400 	1.1e-11 	32.7 	3e-11 	31.3	
STEVOR1.hmm 	PfNF54_020005400 	4.6e-167 	542.7 	5.1e-167 	542.5	
RIFIN-B.hmm 	PfNF54_020005400 	5.7e-13 	36.9 	4.2e-12 	34.1	
