RIFIN-A.hmm 	PfGN01_000022800 	1.6e-98 	318.3 	1.5e-59 	190.2	
RIFIN-B.hmm 	PfGN01_000022800 	1e-145 	473.1 	1.2e-145 	472.9	
STEVOR1.hmm 	PfGN01_000022800 	4.7e-11 	30.4 	1e-08 	22.7	
RIFIN-B.hmm 	PfGN01_010005200 	1.1e-101 	328.4 	1.3e-54 	173.7	
STEVOR1.hmm 	PfGN01_010005200 	2.5e-12 	34.6 	5.7e-10 	26.8	
RIFIN-A.hmm 	PfGN01_010005200 	5.3e-158 	513.9 	5.9e-158 	513.7	
STEVOR1.hmm 	PfGN01_010005300 	1.6e-11 	31.9 	5e-09 	23.7	
RIFIN-B.hmm 	PfGN01_010005300 	1.8e-139 	452.6 	2.1e-139 	452.4	
RIFIN-A.hmm 	PfGN01_010005300 	8.6e-95 	306.0 	1.4e-51 	164.0	
RIFIN-B.hmm 	PfGN01_010005500 	1.1e-106 	344.8 	4.7e-58 	185.0	
STEVOR1.hmm 	PfGN01_010005500 	6.6e-07 	16.8 	4.8e-06 	13.9	
RIFIN-A.hmm 	PfGN01_010005500 	6.8e-151 	490.5 	7.6e-151 	490.4	
RIFIN-A.hmm 	PfGN01_010005700 	1.3e-10 	29.2 	2e-08 	22.0	
STEVOR1.hmm 	PfGN01_010005700 	1.3e-162 	528.1 	1.5e-162 	527.9	
RIFIN-B.hmm 	PfGN01_010005700 	1.8e-09 	25.4 	2.3e-09 	25.0	
STEVOR1.hmm 	PfGN01_010005800 	2.1e-09 	24.9 	1.3e-06 	15.8	
RIFIN-A.hmm 	PfGN01_010005800 	4.2e-95 	307.0 	1.2e-51 	164.2	
RIFIN-B.hmm 	PfGN01_010005800 	8.2e-138 	447.1 	9.1e-138 	447.0	
STEVOR1.hmm 	PfGN01_010005900 	1.3e-14 	42.0 	1.7e-09 	25.3	
RIFIN-A.hmm 	PfGN01_010005900 	2.3e-146 	475.6 	2.5e-146 	475.5	
RIFIN-B.hmm 	PfGN01_010005900 	2.9e-100 	323.8 	2.6e-52 	166.2	
RIFIN-A.hmm 	PfGN01_010006000 	1.1e-152 	496.4 	1.3e-152 	496.2	
STEVOR1.hmm 	PfGN01_010006000 	8.5e-09 	23.0 	1.9e-07 	18.6	
RIFIN-B.hmm 	PfGN01_010006000 	9.8e-102 	328.6 	1.7e-56 	180.0	
STEVOR1.hmm 	PfGN01_010006300 	3.3e-163 	530.0 	3.7e-163 	529.9	
RIFIN-A.hmm 	PfGN01_010006300 	4.5e-12 	34.0 	1.2e-10 	29.3	
RIFIN-B.hmm 	PfGN01_010006300 	8.6e-14 	39.6 	5.2e-11 	30.5	
STEVOR1.hmm 	PfGN01_010006400 	1e-14 	42.4 	4.4e-10 	27.2	
RIFIN-B.hmm 	PfGN01_010006400 	3.2e-127 	412.3 	3.6e-127 	412.2	
RIFIN-A.hmm 	PfGN01_010006400 	6.6e-96 	309.7 	4e-54 	172.3	
RIFIN-B.hmm 	PfGN01_010018600 	3.1e-132 	428.8 	3.4e-132 	428.7	
STEVOR1.hmm 	PfGN01_010018600 	3e-14 	40.9 	5.3e-09 	23.6	
RIFIN-A.hmm 	PfGN01_010018600 	7.3e-91 	293.1 	6.1e-53 	168.4	
RIFIN-B.hmm 	PfGN01_010019200 	1.4e-97 	315.0 	9.8e-51 	161.0	
STEVOR1.hmm 	PfGN01_010019200 	1e-10 	29.3 	7.2e-10 	26.5	
RIFIN-A.hmm 	PfGN01_010019200 	8.3e-137 	444.2 	9.4e-137 	444.0	
STEVOR1.hmm 	PfGN01_010019300 	1.2e-14 	42.2 	5.2e-10 	26.9	
RIFIN-A.hmm 	PfGN01_010019300 	4e-92 	297.2 	2.5e-53 	169.7	
RIFIN-B.hmm 	PfGN01_010019300 	5.3e-130 	421.5 	5.9e-130 	421.3	
RIFIN-A.hmm 	PfGN01_010019400 	1.6e-148 	482.7 	1.8e-148 	482.5	
STEVOR1.hmm 	PfGN01_010019400 	1.9e-16 	48.1 	2.3e-10 	28.1	
RIFIN-B.hmm 	PfGN01_010019400 	9.5e-114 	368.1 	1.3e-63 	203.4	
STEVOR1.hmm 	PfGN01_010019500 	1.1e-09 	25.8 	4.5e-07 	17.3	
RIFIN-B.hmm 	PfGN01_010019500 	2.9e-102 	330.3 	7.3e-56 	177.8	
RIFIN-A.hmm 	PfGN01_010019500 	5.6e-149 	484.2 	6.3e-149 	484.0	
STEVOR1.hmm 	PfGN01_010019600 	1.6e-13 	38.5 	5.7e-09 	23.5	
RIFIN-A.hmm 	PfGN01_010019600 	1.7e-97 	314.9 	1.9e-59 	189.8	
RIFIN-B.hmm 	PfGN01_010019600 	2.1e-140 	455.6 	2.4e-140 	455.5	
RIFIN-B.hmm 	PfGN01_010019700 	1.1e-110 	358.0 	9.1e-66 	210.4	
RIFIN-A.hmm 	PfGN01_010019700 	2.3e-153 	498.6 	2.6e-153 	498.5	
STEVOR1.hmm 	PfGN01_010019700 	6.9e-15 	43.0 	4.3e-10 	27.2	
RIFIN-A.hmm 	PfGN01_010019900 	1.3e-141 	460.0 	1.5e-141 	459.8	
STEVOR1.hmm 	PfGN01_010019900 	3.9e-10 	27.4 	5.7e-09 	23.5	
RIFIN-B.hmm 	PfGN01_010019900 	5.1e-99 	319.7 	9.8e-54 	170.8	
STEVOR1.hmm 	PfGN01_010020300 	1.6e-09 	25.3 	8.7e-08 	19.7	
RIFIN-A.hmm 	PfGN01_010020300 	2.4e-144 	469.0 	2.7e-144 	468.8	
RIFIN-B.hmm 	PfGN01_010020300 	6.9e-105 	338.9 	9.2e-60 	190.7	
RIFIN-B.hmm 	PfGN01_020005700 	1.6e-107 	347.6 	7.7e-56 	177.8	
STEVOR1.hmm 	PfGN01_020005700 	7.8e-13 	36.2 	1.5e-09 	25.5	
RIFIN-A.hmm 	PfGN01_020005700 	7.8e-150 	487.0 	8.8e-150 	486.9	
STEVOR1.hmm 	PfGN01_020005800 	1.5e-10 	28.7 	6.1e-08 	20.2	
RIFIN-B.hmm 	PfGN01_020005800 	3.3e-144 	468.1 	3.8e-144 	467.9	
RIFIN-A.hmm 	PfGN01_020005800 	9.5e-98 	315.7 	4.9e-58 	185.2	
RIFIN-A.hmm 	PfGN01_020006000 	2.3e-155 	505.2 	2.5e-155 	505.1	
RIFIN-B.hmm 	PfGN01_020006000 	3.3e-111 	359.7 	1.7e-62 	199.7	
STEVOR1.hmm 	PfGN01_020006000 	5.5e-13 	36.7 	1.3e-08 	22.4	
RIFIN-A.hmm 	PfGN01_020006100 	1e-98 	318.9 	5.4e-58 	185.0	
RIFIN-B.hmm 	PfGN01_020006100 	3.9e-147 	477.8 	4.3e-147 	477.6	
STEVOR1.hmm 	PfGN01_020006100 	5e-14 	40.1 	7.6e-09 	23.1	
RIFIN-B.hmm 	PfGN01_020006300 	2.4e-103 	333.9 	3e-58 	185.7	
STEVOR1.hmm 	PfGN01_020006300 	3.7e-11 	30.7 	1.4e-08 	22.2	
