STEVOR1.hmm 	PfKH02_000007900 	1e-14 	42.4 	6.5e-10 	26.6	
RIFIN-B.hmm 	PfKH02_000007900 	2e-98 	317.7 	3.1e-51 	162.6	
RIFIN-A.hmm 	PfKH02_000007900 	3.4e-135 	438.9 	3.8e-135 	438.7	
RIFIN-A.hmm 	PfKH02_000008000 	1.1e-10 	29.4 	2.1e-10 	28.5	
RIFIN-B.hmm 	PfKH02_000008000 	1.1e-11 	32.7 	1.9e-10 	28.6	
STEVOR1.hmm 	PfKH02_000008000 	4.4e-164 	532.9 	4.9e-164 	532.7	
RIFIN-B.hmm 	PfKH02_000008100 	1.6e-93 	301.6 	2.1e-54 	173.0	
STEVOR1.hmm 	PfKH02_000008100 	1e-09 	26.0 	1.2e-08 	22.5	
RIFIN-A.hmm 	PfKH02_000008100 	9e-129 	417.8 	1e-128 	417.6	
STEVOR1.hmm 	PfKH02_000008200 	1.8e-16 	48.2 	2.1e-13 	38.1	
RIFIN-B.hmm 	PfKH02_000008200 	5.9e-128 	414.8 	6.6e-128 	414.6	
RIFIN-A.hmm 	PfKH02_000008200 	6.4e-101 	326.2 	2.2e-59 	189.6	
STEVOR1.hmm 	PfKH02_000008300 	2.2e-162 	527.3 	2.5e-162 	527.1	
RIFIN-A.hmm 	PfKH02_000008300 	6.5e-12 	33.5 	4.4e-09 	24.2	
RIFIN-B.hmm 	PfKH02_000008300 	7.5e-14 	39.8 	7.6e-12 	33.2	
RIFIN-A.hmm 	PfKH02_000008400 	2.5e-106 	344.0 	3.6e-64 	205.3	
RIFIN-B.hmm 	PfKH02_000008400 	2.9e-137 	445.3 	3.3e-137 	445.2	
STEVOR1.hmm 	PfKH02_000008400 	8.8e-15 	42.6 	2.9e-09 	24.5	
RIFIN-A.hmm 	PfKH02_000008500 	2.8e-144 	468.7 	3.2e-144 	468.6	
STEVOR1.hmm 	PfKH02_000008500 	6.1e-08 	20.1 	8.1e-07 	16.5	
RIFIN-B.hmm 	PfKH02_000008500 	9.4e-96 	308.9 	1.4e-53 	170.4	
RIFIN-B.hmm 	PfKH02_000008600 	1.2e-144 	469.6 	1.4e-144 	469.3	
STEVOR1.hmm 	PfKH02_000008600 	1.9e-17 	51.3 	9.8e-13 	35.9	
RIFIN-A.hmm 	PfKH02_000008600 	6.4e-100 	322.9 	1e-59 	190.7	
STEVOR1.hmm 	PfKH02_000008700 	6.9e-12 	33.1 	3.5e-08 	20.9	
RIFIN-B.hmm 	PfKH02_000008700 	7.5e-127 	411.1 	8.4e-127 	411.0	
RIFIN-A.hmm 	PfKH02_000008700 	9.7e-96 	309.1 	4.3e-53 	168.9	
RIFIN-A.hmm 	PfKH02_000008800 	5.7e-145 	471.0 	6.4e-145 	470.9	
STEVOR1.hmm 	PfKH02_000008800 	6.2e-10 	26.7 	5e-08 	20.4	
RIFIN-B.hmm 	PfKH02_000008800 	6e-98 	316.1 	2e-52 	166.5	
STEVOR1.hmm 	PfKH02_000009000 	1.1e-14 	42.3 	3.7e-10 	27.4	
RIFIN-B.hmm 	PfKH02_000009000 	3.7e-147 	477.9 	4.1e-147 	477.7	
RIFIN-A.hmm 	PfKH02_000009000 	4.1e-106 	343.3 	1.1e-66 	213.6	
STEVOR1.hmm 	PfKH02_010005000 	2.6e-13 	37.8 	2e-08 	21.7	
RIFIN-A.hmm 	PfKH02_010005000 	6.6e-145 	470.8 	7.4e-145 	470.7	
RIFIN-B.hmm 	PfKH02_010005000 	8.6e-100 	322.2 	4.7e-57 	181.8	
RIFIN-A.hmm 	PfKH02_010005100 	2.2e-153 	498.7 	2.5e-153 	498.5	
STEVOR1.hmm 	PfKH02_010005100 	3.1e-09 	24.4 	5.7e-07 	17.0	
RIFIN-B.hmm 	PfKH02_010005100 	4.6e-101 	326.4 	3.9e-57 	182.0	
RIFIN-B.hmm 	PfKH02_010005200 	1.8e-111 	360.5 	4.3e-62 	198.3	
RIFIN-A.hmm 	PfKH02_010005200 	2.4e-152 	495.3 	2.7e-152 	495.1	
STEVOR1.hmm 	PfKH02_010005200 	4.3e-12 	33.8 	8.5e-08 	19.7	
STEVOR1.hmm 	PfKH02_010005600 	1.4e-09 	25.5 	1.5e-08 	22.1	
RIFIN-A.hmm 	PfKH02_010005600 	1.6e-142 	463.0 	1.8e-142 	462.8	
RIFIN-B.hmm 	PfKH02_010005600 	3.7e-102 	330.0 	1.6e-61 	196.4	
STEVOR1.hmm 	PfKH02_010005700 	1.8e-09 	25.2 	2.3e-08 	21.5	
RIFIN-B.hmm 	PfKH02_010005700 	3.6e-149 	484.5 	4e-149 	484.3	
RIFIN-A.hmm 	PfKH02_010005700 	7.3e-112 	362.2 	8.7e-66 	210.6	
RIFIN-B.hmm 	PfKH02_010005800 	3.4e-152 	494.4 	3.9e-152 	494.2	
RIFIN-A.hmm 	PfKH02_010005800 	3.5e-101 	327.0 	5.8e-61 	194.8	
STEVOR1.hmm 	PfKH02_010005800 	3.8e-16 	47.1 	2.2e-11 	31.5	
STEVOR1.hmm 	PfKH02_010018300 	1.2e-14 	42.1 	3.1e-09 	24.4	
RIFIN-B.hmm 	PfKH02_010018300 	1.9e-133 	432.8 	2.1e-133 	432.7	
RIFIN-A.hmm 	PfKH02_010018300 	3e-92 	297.7 	4.3e-54 	172.2	
RIFIN-A.hmm 	PfKH02_010018900 	1.6e-140 	456.4 	1.7e-140 	456.3	
RIFIN-B.hmm 	PfKH02_010018900 	2.4e-97 	314.2 	9.5e-53 	167.6	
STEVOR1.hmm 	PfKH02_010018900 	5.1e-15 	43.4 	2.9e-11 	31.1	
STEVOR1.hmm 	PfKH02_010019200 	1.2e-12 	35.6 	4.3e-08 	20.7	
RIFIN-B.hmm 	PfKH02_010019200 	1.6e-115 	373.9 	6.7e-65 	207.5	
RIFIN-A.hmm 	PfKH02_010019200 	6.4e-155 	503.8 	7.2e-155 	503.6	
RIFIN-A.hmm 	PfKH02_010019300 	1.1e-137 	447.0 	1.3e-137 	446.9	
RIFIN-B.hmm 	PfKH02_010019300 	1.8e-103 	334.3 	4.5e-56 	178.5	
STEVOR1.hmm 	PfKH02_010019300 	2.8e-11 	31.1 	3.8e-08 	20.8	
RIFIN-B.hmm 	PfKH02_010019400 	1.3e-138 	449.7 	1.5e-138 	449.6	
STEVOR1.hmm 	PfKH02_010019400 	3.5e-09 	24.2 	3.5e-08 	20.9	
RIFIN-A.hmm 	PfKH02_010019400 	6.9e-94 	303.1 	5e-53 	168.7	
RIFIN-A.hmm 	PfKH02_010019500 	1.7e-10 	28.9 	1.9e-09 	25.4	
STEVOR1.hmm 	PfKH02_010019500 	8.6e-160 	518.8 	9.6e-160 	518.6	
RIFIN-B.hmm 	PfKH02_010019500 	9.2e-14 	39.5 	1.2e-11 	32.5	
STEVOR1.hmm 	PfKH02_010019800 	1.5e-13 	38.6 	1.5e-08 	22.1	
RIFIN-A.hmm 	PfKH02_010019800 	1.5e-154 	502.6 	1.6e-154 	502.4	
RIFIN-B.hmm 	PfKH02_010019800 	2e-110 	357.2 	1.1e-61 	197.0	
STEVOR1.hmm 	PfKH02_020005000 	1e-11 	32.6 	6.3e-08 	20.1	
RIFIN-A.hmm 	PfKH02_020005000 	2.7e-97 	314.3 	4.2e-59 	188.7	
RIFIN-B.hmm 	PfKH02_020005000 	8.4e-148 	480.0 	9.4e-148 	479.8	
STEVOR1.hmm 	PfKH02_020005100 	1.1e-11 	32.5 	3.2e-08 	21.0	
RIFIN-B.hmm 	PfKH02_020005100 	1.2e-99 	321.7 	1.9e-58 	186.3	
RIFIN-A.hmm 	PfKH02_020005100 	4.4e-152 	494.4 	4.9e-152 	494.3	
STEVOR1.hmm 	PfKH02_020005200 	1.2e-14 	42.2 	5.2e-09 	23.7	
RIFIN-B.hmm 	PfKH02_020005200 	2.2e-98 	317.6 	1.8e-54 	173.3	
RIFIN-A.hmm 	PfKH02_020005200 	4.5e-143 	464.8 	5e-143 	464.6	
STEVOR1.hmm 	PfKH02_020005300 	1.1e-14 	42.3 	6.7e-10 	26.6	
RIFIN-B.hmm 	PfKH02_020005300 	2e-96 	311.2 	1.6e-50 	160.3	
RIFIN-A.hmm 	PfKH02_020005300 	6.2e-133 	431.5 	7e-133 	431.3	
RIFIN-B.hmm 	PfKH02_020005400 	1.1e-11 	32.7 	2.4e-10 	28.3	
RIFIN-A.hmm 	PfKH02_020005400 	1.2e-11 	32.6 	3.9e-10 	27.7	
STEVOR1.hmm 	PfKH02_020005400 	2.8e-161 	523.7 	3.1e-161 	523.5	
STEVOR1.hmm 	PfKH02_020025200 	1.4e-87 	281.6 	1e-50 	160.6	
RIFIN-A.hmm 	PfKH02_020025200 	1.6e-12 	35.5 	3.7e-10 	27.7	
RIFIN-B.hmm 	PfKH02_020025200 	2.5e-13 	38.1 	7.6e-10 	26.6	
RIFIN-B.hmm 	PfKH02_020026100 	1.2e-100 	325.1 	1.8e-53 	170.0	
STEVOR1.hmm 	PfKH02_020026100 	7.7e-16 	46.1 	3.9e-10 	27.3	
RIFIN-A.hmm 	PfKH02_020026100 	9.2e-138 	447.3 	1e-137 	447.2	
STEVOR1.hmm 	PfKH02_020026200 	3.3e-13 	37.4 	8.8e-09 	22.9	
RIFIN-B.hmm 	PfKH02_020026200 	4.1e-146 	474.4 	4.6e-146 	474.3	
RIFIN-A.hmm 	PfKH02_020026200 	5.8e-106 	342.8 	5.5e-66 	211.3	
RIFIN-A.hmm 	PfKH02_020026300 	3.9e-152 	494.6 	4.4e-152 	494.4	
STEVOR1.hmm 	PfKH02_020026300 	4.4e-11 	30.5 	2e-07 	18.5	
RIFIN-B.hmm 	PfKH02_020026300 	9.2e-95 	305.7 	2e-51 	163.3	
RIFIN-B.hmm 	PfKH02_030006000 	1.2e-109 	354.6 	3.5e-63 	201.9	
RIFIN-A.hmm 	PfKH02_030006000 	4e-152 	494.6 	4.5e-152 	494.4	
STEVOR1.hmm 	PfKH02_030006000 	7.4e-12 	33.0 	1.3e-08 	22.3	
RIFIN-A.hmm 	PfKH02_030006100 	1.3e-147 	479.8 	1.4e-147 	479.6	
RIFIN-B.hmm 	PfKH02_030006100 	1.8e-111 	360.6 	4.1e-60 	191.8	
STEVOR1.hmm 	PfKH02_030006100 	4.2e-14 	40.4 	7.4e-09 	23.2	
STEVOR1.hmm 	PfKH02_030006300 	1.3e-12 	35.5 	1.8e-08 	21.9	
RIFIN-A.hmm 	PfKH02_030006300 	1.5e-144 	469.6 	1.7e-144 	469.5	
RIFIN-B.hmm 	PfKH02_030006300 	2.3e-103 	333.9 	1.4e-58 	186.8	
STEVOR1.hmm 	PfKH02_030006500 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PfKH02_030006500 	5e-08 	20.6 	5e-08 	20.6	
RIFIN-A.hmm 	PfKH02_030030000 	1.6e-12 	35.5 	2.6e-09 	24.9	
RIFIN-B.hmm 	PfKH02_030030000 	4.3e-13 	37.3 	9.2e-11 	29.6	
STEVOR1.hmm 	PfKH02_030030000 	6.4e-166 	538.9 	7.1e-166 	538.8	
RIFIN-A.hmm 	PfKH02_030030100 	1.2e-151 	493.0 	1.3e-151 	492.9	
STEVOR1.hmm 	PfKH02_030030100 	3.5e-10 	27.5 	2.2e-09 	24.9	
RIFIN-B.hmm 	PfKH02_030030100 	9.1e-113 	364.8 	1e-67 	216.8	
RIFIN-B.hmm 	PfKH02_040005600 	1.6e-116 	377.2 	5.2e-64 	204.6	
STEVOR1.hmm 	PfKH02_040005600 	4.4e-10 	27.2 	3.6e-09 	24.2	
RIFIN-A.hmm 	PfKH02_040005600 	7.2e-158 	513.5 	8e-158 	513.3	
RIFIN-B.hmm 	PfKH02_040005700 	1.6e-149 	485.6 	1.8e-149 	485.4	
STEVOR1.hmm 	PfKH02_040005700 	2.8e-12 	34.4 	3.5e-08 	20.9	
RIFIN-A.hmm 	PfKH02_040005700 	6.4e-100 	322.9 	1.4e-62 	200.1	
RIFIN-B.hmm 	PfKH02_040005800 	1.5e-94 	305.0 	3e-50 	159.4	
STEVOR1.hmm 	PfKH02_040005800 	5.2e-10 	26.9 	1e-07 	19.4	
RIFIN-A.hmm 	PfKH02_040005800 	8e-141 	457.4 	9e-141 	457.2	
RIFIN-A.hmm 	PfKH02_040005900 	2.2e-138 	449.4 	2.5e-138 	449.2	
STEVOR1.hmm 	PfKH02_040005900 	2.6e-08 	21.4 	2e-07 	18.5	
RIFIN-B.hmm 	PfKH02_040005900 	4.2e-110 	356.1 	9.6e-65 	207.0	
STEVOR1.hmm 	PfKH02_040006000 	1.4e-120 	390.1 	7.1e-88 	282.6	
RIFIN-B.hmm 	PfKH02_040006000 	3.3e-12 	34.4 	3.6e-11 	31.0	
RIFIN-A.hmm 	PfKH02_040006000 	6.2e-11 	30.3 	2.1e-09 	25.2	
RIFIN-B.hmm 	PfKH02_040006100 	1.9e-36 	114.1 	3.3e-30 	93.5	
RIFIN-A.hmm 	PfKH02_040006100 	3e-46 	146.4 	3.1e-45 	143.1	
STEVOR1.hmm 	PfKH02_040006100 	9.2e-09 	22.9 	2.8e-08 	21.3	
RIFIN-A.hmm 	PfKH02_040007000 	2.5e-117 	380.2 	1e-116 	378.1	
STEVOR1.hmm 	PfKH02_040007000 	2.5e-17 	51.0 	7.1e-14 	39.6	
RIFIN-B.hmm 	PfKH02_040007000 	7.8e-92 	296.1 	3.8e-51 	162.3	
RIFIN-A.hmm 	PfKH02_040007100 	1.5e-07 	19.2 	4.7e-05 	10.9	
STEVOR1.hmm 	PfKH02_040007100 	2.5e-106 	343.3 	2.8e-106 	343.1	
RIFIN-B.hmm 	PfKH02_040007100 	3.1e-06 	14.8 	3.1e-06 	14.8	
STEVOR1.hmm 	PfKH02_040007200 	1.4e-07 	18.9 	1.4e-06 	15.7	
RIFIN-A.hmm 	PfKH02_040007200 	1.8e-107 	347.7 	3.8e-107 	346.7	
RIFIN-B.hmm 	PfKH02_040007200 	4.3e-81 	260.7 	3.3e-43 	136.2	
STEVOR1.hmm 	PfKH02_040017400 	1.1e-17 	52.2 	2.3e-13 	38.0	
RIFIN-A.hmm 	PfKH02_040017400 	1.7e-134 	436.6 	1.9e-134 	436.4	
RIFIN-B.hmm 	PfKH02_040017400 	7.1e-100 	322.5 	6.8e-56 	177.9	
STEVOR1.hmm 	PfKH02_040017800 	1.1e-17 	52.2 	2.3e-13 	38.0	
RIFIN-A.hmm 	PfKH02_040017800 	1.7e-134 	436.6 	1.9e-134 	436.4	
RIFIN-B.hmm 	PfKH02_040017800 	7.1e-100 	322.5 	6.8e-56 	177.9	
RIFIN-A.hmm 	PfKH02_040018100 	1.4e-134 	436.8 	1.6e-134 	436.7	
RIFIN-B.hmm 	PfKH02_040018100 	2.4e-105 	340.4 	2.2e-56 	179.6	
STEVOR1.hmm 	PfKH02_040018100 	2e-15 	44.7 	1.5e-11 	32.0	
STEVOR1.hmm 	PfKH02_040018200 	2.7e-15 	44.3 	8.1e-10 	26.3	
RIFIN-A.hmm 	PfKH02_040018200 	5.1e-135 	438.3 	5.7e-135 	438.1	
RIFIN-B.hmm 	PfKH02_040018200 	5.9e-116 	375.3 	1.1e-63 	203.5	
RIFIN-B.hmm 	PfKH02_040025900 	3.5e-19 	57.3 	5e-19 	56.8	
RIFIN-A.hmm 	PfKH02_040025900 	3.9e-29 	90.1 	4.9e-29 	89.8	
RIFIN-A.hmm 	PfKH02_040026200 	1.8e-131 	426.6 	2.1e-131 	426.4	
RIFIN-B.hmm 	PfKH02_040026200 	4.6e-98 	316.5 	3.4e-56 	178.9	
STEVOR1.hmm 	PfKH02_040026200 	6.2e-15 	43.1 	1.4e-10 	28.9	
STEVOR1.hmm 	PfKH02_040026300 	1.1e-11 	32.4 	6.7e-09 	23.3	
RIFIN-A.hmm 	PfKH02_040026300 	3.4e-144 	468.5 	3.8e-144 	468.3	
RIFIN-B.hmm 	PfKH02_040026300 	6.2e-110 	355.5 	3.3e-64 	205.3	
RIFIN-B.hmm 	PfKH02_040026500 	1.4e-92 	298.5 	2.3e-48 	153.2	
STEVOR1.hmm 	PfKH02_040026500 	2.5e-14 	41.1 	1.8e-09 	25.1	
RIFIN-A.hmm 	PfKH02_040026500 	8.9e-135 	437.5 	1.1e-134 	437.2	
RIFIN-A.hmm 	PfKH02_040026900 	1.9e-103 	334.5 	2.2e-103 	334.3	
STEVOR1.hmm 	PfKH02_040026900 	5.5e-10 	26.9 	5.5e-10 	26.9	
RIFIN-B.hmm 	PfKH02_040026900 	6.5e-79 	253.6 	1.1e-54 	174.0	
RIFIN-B.hmm 	PfKH02_040031000 	3.3e-09 	24.5 	4.1e-09 	24.2	
STEVOR1.hmm 	PfKH02_040031000 	5e-32 	99.3 	1.4e-24 	74.8	
RIFIN-A.hmm 	PfKH02_040031000 	6.8e-08 	20.3 	7.9e-08 	20.1	
RIFIN-A.hmm 	PfKH02_040031300 	2.6e-90 	291.3 	2.7e-48 	153.1	
RIFIN-B.hmm 	PfKH02_040031300 	2.7e-135 	438.9 	3e-135 	438.7	
