RIFIN-B.hmm 	PfKE01_000005100 	1.1e-103 	335.0 	3.3e-55 	175.7	
RIFIN-A.hmm 	PfKE01_000005100 	2.1e-140 	456.0 	2.4e-140 	455.8	
STEVOR1.hmm 	PfKE01_000005100 	5.7e-19 	56.4 	1e-11 	32.6	
RIFIN-B.hmm 	PfKE01_000005200 	1.8e-133 	432.8 	2.1e-133 	432.7	
STEVOR1.hmm 	PfKE01_000005200 	1.9e-15 	44.8 	7.3e-10 	26.5	
RIFIN-A.hmm 	PfKE01_000005200 	4e-89 	287.4 	4.6e-49 	155.7	
RIFIN-B.hmm 	PfKE01_000005300 	2.2e-13 	38.3 	2.2e-10 	28.4	
RIFIN-A.hmm 	PfKE01_000005300 	4.1e-13 	37.4 	6.5e-09 	23.6	
STEVOR1.hmm 	PfKE01_000005300 	9.6e-168 	544.9 	1.1e-167 	544.8	
STEVOR1.hmm 	PfKE01_000005400 	1.8e-11 	31.7 	2.3e-10 	28.1	
RIFIN-A.hmm 	PfKE01_000005400 	4.5e-118 	382.6 	5.1e-118 	382.4	
RIFIN-B.hmm 	PfKE01_000005400 	4.6e-85 	273.8 	3.7e-48 	152.5	
RIFIN-A.hmm 	PfKE01_000005500 	4.8e-131 	425.3 	6.1e-131 	424.9	
RIFIN-B.hmm 	PfKE01_000005500 	5.7e-82 	263.6 	7.4e-49 	154.8	
STEVOR1.hmm 	PfKE01_000005500 	8.7e-12 	32.8 	6.4e-08 	20.1	
RIFIN-B.hmm 	PfKE01_000005700 	3.2e-147 	478.1 	3.6e-147 	477.9	
STEVOR1.hmm 	PfKE01_000005700 	3.3e-13 	37.4 	7.3e-10 	26.5	
RIFIN-A.hmm 	PfKE01_000005700 	3e-104 	337.1 	2.5e-62 	199.3	
RIFIN-B.hmm 	PfKE01_000005800 	1e-105 	341.7 	1e-58 	187.2	
STEVOR1.hmm 	PfKE01_000005800 	2.7e-10 	27.9 	9.5e-09 	22.8	
RIFIN-A.hmm 	PfKE01_000005800 	7.3e-143 	464.1 	8.1e-143 	464.0	
RIFIN-B.hmm 	PfKE01_000006000 	1.3e-98 	318.3 	2.1e-54 	173.0	
RIFIN-A.hmm 	PfKE01_000006000 	2.5e-150 	488.7 	2.8e-150 	488.5	
STEVOR1.hmm 	PfKE01_000006000 	3.3e-13 	37.4 	2.8e-08 	21.2	
RIFIN-A.hmm 	PfKE01_000006100 	1.1e-154 	503.0 	1.2e-154 	502.8	
RIFIN-B.hmm 	PfKE01_000006100 	1.5e-100 	324.7 	1.5e-56 	180.1	
STEVOR1.hmm 	PfKE01_000006100 	2.6e-13 	37.8 	1.8e-08 	21.9	
RIFIN-A.hmm 	PfKE01_000006900 	1.4e-66 	213.2 	1.9e-66 	212.8	
RIFIN-B.hmm 	PfKE01_000006900 	8.3e-47 	148.1 	2.6e-39 	123.4	
STEVOR1.hmm 	PfKE01_000007700 	2.6e-14 	41.1 	4.4e-11 	30.5	
