STEVOR1.hmm 	Pf7G8-2_000005800 	1.8e-14 	41.6 	7.3e-11 	29.8	
RIFIN-A.hmm 	Pf7G8-2_000005800 	3.5e-130 	422.4 	4e-130 	422.2	
RIFIN-B.hmm 	Pf7G8-2_000005800 	5.3e-86 	276.9 	1.4e-45 	144.1	
STEVOR1.hmm 	Pf7G8-2_000006400 	1.7e-11 	31.9 	3.8e-08 	20.8	
RIFIN-B.hmm 	Pf7G8-2_000006400 	3.1e-102 	330.2 	2.5e-55 	176.1	
RIFIN-A.hmm 	Pf7G8-2_000006400 	5e-145 	471.2 	5.6e-145 	471.1	
RIFIN-B.hmm 	Pf7G8-2_000024900 	4.9e-23 	70.0 	5.6e-23 	69.8	
RIFIN-A.hmm 	Pf7G8-2_000024900 	5e-24 	73.3 	5.6e-24 	73.2	
RIFIN-A.hmm 	Pf7G8-2_000035400 	2.5e-157 	511.7 	2.8e-157 	511.5	
RIFIN-B.hmm 	Pf7G8-2_000035400 	6.8e-109 	352.1 	1e-59 	190.5	
STEVOR1.hmm 	Pf7G8-2_000035400 	8.2e-11 	29.6 	4.8e-07 	17.2	
RIFIN-B.hmm 	Pf7G8-2_000035600 	1.9e-101 	327.7 	3.9e-57 	182.0	
STEVOR1.hmm 	Pf7G8-2_000035600 	1e-12 	35.8 	3e-08 	21.2	
RIFIN-A.hmm 	Pf7G8-2_000035600 	1e-144 	470.2 	1.2e-144 	470.0	
RIFIN-B.hmm 	Pf7G8-2_000035800 	4.8e-95 	306.6 	5.3e-53 	168.4	
RIFIN-A.hmm 	Pf7G8-2_000035800 	6.9e-136 	441.2 	7.8e-136 	441.0	
STEVOR1.hmm 	Pf7G8-2_000035800 	8.6e-14 	39.4 	7.5e-10 	26.4	
STEVOR1.hmm 	Pf7G8-2_000035900 	2.3e-12 	34.7 	6e-08 	20.2	
RIFIN-A.hmm 	Pf7G8-2_000035900 	8.2e-154 	500.1 	9.4e-154 	499.9	
RIFIN-B.hmm 	Pf7G8-2_000035900 	8.4e-113 	364.9 	1.3e-67 	216.5	
STEVOR1.hmm 	Pf7G8-2_000036000 	2e-11 	31.6 	1e-08 	22.7	
RIFIN-A.hmm 	Pf7G8-2_000036000 	6.9e-101 	326.1 	2.1e-54 	173.2	
RIFIN-B.hmm 	Pf7G8-2_000036000 	8.7e-145 	470.1 	9.7e-145 	469.9	
STEVOR1.hmm 	Pf7G8-2_000036200 	6.2e-59 	187.6 	1.1e-58 	186.8	
STEVOR1.hmm 	Pf7G8-2_000048300 	1.2e-14 	42.2 	3.1e-09 	24.4	
