RIFIN-B.hmm 	PfGA01_000005900 	1.1e-12 	36.0 	1.9e-12 	35.2	
STEVOR1.hmm 	PfGA01_000005900 	4.7e-176 	572.2 	5.3e-176 	572.1	
RIFIN-A.hmm 	PfGA01_000005900 	8.7e-11 	29.8 	9.2e-11 	29.7	
RIFIN-B.hmm 	PfGA01_000006000 	3.3e-103 	333.4 	1.5e-53 	170.3	
RIFIN-A.hmm 	PfGA01_000006000 	6.7e-137 	444.5 	7.6e-137 	444.3	
STEVOR1.hmm 	PfGA01_000006000 	7.1e-17 	49.5 	9.1e-11 	29.4	
STEVOR1.hmm 	PfGA01_000006100 	1.1e-13 	39.1 	6.8e-09 	23.3	
RIFIN-B.hmm 	PfGA01_000006100 	2e-93 	301.3 	1.3e-49 	157.3	
RIFIN-A.hmm 	PfGA01_000006100 	3.8e-138 	448.6 	4.4e-138 	448.4	
RIFIN-B.hmm 	PfGA01_000006300 	2.1e-145 	472.1 	2.3e-145 	471.9	
STEVOR1.hmm 	PfGA01_000006300 	2.4e-10 	28.0 	1.6e-07 	18.8	
RIFIN-A.hmm 	PfGA01_000006300 	2.9e-101 	327.3 	3.5e-55 	175.8	
STEVOR1.hmm 	PfGA01_000006500 	2.1e-08 	21.7 	4.9e-07 	17.2	
RIFIN-A.hmm 	PfGA01_000006500 	4.8e-147 	477.9 	5.4e-147 	477.7	
RIFIN-B.hmm 	PfGA01_000006500 	5.8e-104 	335.9 	2e-59 	189.5	
RIFIN-B.hmm 	PfGA01_000006600 	1.4e-103 	334.6 	3.1e-57 	182.3	
STEVOR1.hmm 	PfGA01_000006600 	3.5e-11 	30.8 	6.5e-09 	23.4	
RIFIN-A.hmm 	PfGA01_000006600 	9.6e-148 	480.2 	1.1e-147 	480.0	
RIFIN-A.hmm 	PfGA01_000006800 	1.1e-83 	269.5 	2.2e-45 	143.5	
STEVOR1.hmm 	PfGA01_000006800 	1.5e-09 	25.5 	2.3e-07 	18.2	
RIFIN-B.hmm 	PfGA01_000006800 	9.7e-133 	430.5 	3e-94 	304.0	
RIFIN-A.hmm 	PfGA01_000007000 	1.1e-83 	269.5 	2.2e-45 	143.5	
STEVOR1.hmm 	PfGA01_000007000 	1.5e-09 	25.5 	2.3e-07 	18.2	
RIFIN-B.hmm 	PfGA01_000007000 	9.7e-133 	430.5 	3e-94 	304.0	
RIFIN-A.hmm 	PfGA01_000007300 	1.1e-83 	269.5 	2.2e-45 	143.5	
STEVOR1.hmm 	PfGA01_000007300 	1.5e-09 	25.5 	2.3e-07 	18.2	
RIFIN-B.hmm 	PfGA01_000007300 	9.7e-133 	430.5 	3e-94 	304.0	
RIFIN-A.hmm 	PfGA01_000007600 	6.8e-143 	464.2 	7.6e-143 	464.0	
RIFIN-B.hmm 	PfGA01_000007600 	8e-106 	342.0 	2.3e-58 	186.1	
STEVOR1.hmm 	PfGA01_000007600 	9.1e-13 	36.0 	8.8e-09 	22.9	
STEVOR1.hmm 	PfGA01_000009500 	6.5e-14 	39.8 	5.7e-09 	23.5	
RIFIN-A.hmm 	PfGA01_000009500 	8.5e-151 	490.2 	9.5e-151 	490.0	
RIFIN-B.hmm 	PfGA01_000009500 	8.7e-114 	368.2 	8.7e-66 	210.5	
RIFIN-A.hmm 	PfGA01_000009700 	3.7e-155 	504.6 	4.1e-155 	504.4	
STEVOR1.hmm 	PfGA01_000009700 	6.5e-10 	26.6 	2.2e-07 	18.3	
RIFIN-B.hmm 	PfGA01_000009700 	8.7e-104 	335.3 	1.6e-57 	183.3	
RIFIN-A.hmm 	PfGA01_000009800 	3.2e-96 	310.7 	6.9e-64 	204.4	
RIFIN-B.hmm 	PfGA01_000009800 	4.8e-138 	447.9 	5.4e-138 	447.7	
