RIFIN-A.hmm 	PfKH01_000024700 	1e-97 	315.6 	1.3e-97 	315.3	
STEVOR1.hmm 	PfKH01_000024700 	2.2e-12 	34.7 	2.2e-12 	34.7	
RIFIN-B.hmm 	PfKH01_000024700 	6e-73 	234.0 	3.1e-53 	169.2	
RIFIN-B.hmm 	PfKH01_000027900 	1.6e-112 	364.0 	1.9e-112 	363.8	
RIFIN-A.hmm 	PfKH01_000027900 	1.6e-77 	249.2 	1.7e-42 	134.0	
STEVOR1.hmm 	PfKH01_000027900 	5.3e-08 	20.4 	2.6e-06 	14.8	
RIFIN-B.hmm 	PfKH01_000028000 	1.5e-93 	301.7 	1.1e-51 	164.1	
STEVOR1.hmm 	PfKH01_000028000 	2.9e-09 	24.5 	7.2e-08 	19.9	
RIFIN-A.hmm 	PfKH01_000028000 	3.3e-149 	485.0 	3.7e-149 	484.8	
RIFIN-A.hmm 	PfKH01_000028100 	3.6e-10 	27.7 	1e-07 	19.7	
STEVOR1.hmm 	PfKH01_000028100 	4.7e-161 	523.0 	6e-161 	522.6	
RIFIN-B.hmm 	PfKH01_000028100 	6.7e-11 	30.1 	1.5e-09 	25.6	
RIFIN-A.hmm 	PfKH01_000028200 	1.6e-132 	430.1 	1.8e-132 	430.0	
RIFIN-B.hmm 	PfKH01_000028200 	4.1e-111 	359.4 	2.6e-66 	212.2	
STEVOR1.hmm 	PfKH01_000028200 	5e-14 	40.1 	1.9e-09 	25.1	
RIFIN-A.hmm 	PfKH01_000028500 	1.8e-13 	38.6 	3.2e-10 	27.9	
RIFIN-B.hmm 	PfKH01_000028500 	1e-14 	42.6 	1.8e-11 	32.0	
STEVOR1.hmm 	PfKH01_000028500 	3.5e-162 	526.6 	3.9e-162 	526.5	
RIFIN-A.hmm 	PfKH01_000028800 	1.1e-97 	315.6 	5.6e-53 	168.5	
RIFIN-B.hmm 	PfKH01_000028800 	2.1e-132 	429.4 	2.3e-132 	429.2	
STEVOR1.hmm 	PfKH01_000028800 	2.5e-13 	37.9 	5e-10 	27.0	
RIFIN-B.hmm 	PfKH01_000029000 	1.1e-114 	371.1 	6.3e-68 	217.5	
RIFIN-A.hmm 	PfKH01_000029000 	6.3e-161 	523.5 	7e-161 	523.4	
STEVOR1.hmm 	PfKH01_000029000 	6.9e-10 	26.5 	5.3e-09 	23.6	
STEVOR1.hmm 	PfKH01_000029400 	1.5e-10 	28.8 	1.7e-08 	22.0	
RIFIN-A.hmm 	PfKH01_000029400 	2.3e-158 	515.1 	2.6e-158 	514.9	
RIFIN-B.hmm 	PfKH01_000029400 	8.5e-108 	348.5 	3.6e-61 	195.3	
RIFIN-B.hmm 	PfKH01_000029600 	4.2e-14 	40.6 	1.9e-11 	31.9	
STEVOR1.hmm 	PfKH01_000029600 	5.1e-168 	545.8 	5.7e-168 	545.7	
RIFIN-A.hmm 	PfKH01_000029600 	6.3e-13 	36.8 	1.2e-09 	26.1	
RIFIN-A.hmm 	PfKH01_000029700 	1.1e-103 	335.3 	3.3e-62 	198.9	
RIFIN-B.hmm 	PfKH01_000029700 	2.5e-145 	471.9 	2.8e-145 	471.7	
STEVOR1.hmm 	PfKH01_000029700 	7.4e-12 	33.0 	4e-09 	24.1	
RIFIN-A.hmm 	PfKH01_000031800 	1.1e-132 	430.6 	1.5e-132 	430.2	
RIFIN-B.hmm 	PfKH01_000031800 	2.2e-96 	311.0 	4.6e-56 	178.5	
STEVOR1.hmm 	PfKH01_000031800 	9.2e-13 	36.0 	5.4e-09 	23.6	
RIFIN-B.hmm 	PfKH01_000032100 	2e-130 	422.9 	2.2e-130 	422.7	
RIFIN-A.hmm 	PfKH01_000032100 	4.5e-99 	320.1 	1.2e-55 	177.4	
STEVOR1.hmm 	PfKH01_000032100 	7.7e-16 	46.1 	3.1e-11 	31.0	
RIFIN-B.hmm 	PfKH01_000032200 	4.6e-107 	346.1 	5.9e-60 	191.3	
RIFIN-A.hmm 	PfKH01_000032200 	5.7e-136 	441.4 	6.5e-136 	441.3	
STEVOR1.hmm 	PfKH01_000032200 	9.9e-17 	49.0 	2.6e-10 	27.9	
RIFIN-B.hmm 	PfKH01_010006000 	2.4e-110 	356.9 	1.1e-67 	216.7	
STEVOR1.hmm 	PfKH01_010006000 	7.1e-10 	26.5 	1.1e-07 	19.3	
RIFIN-A.hmm 	PfKH01_010006000 	7.9e-146 	473.9 	8.9e-146 	473.7	
