RIFIN-A.hmm 	PfCD01_000005600 	1.5e-13 	38.9 	6.5e-10 	26.9	
RIFIN-B.hmm 	PfCD01_000005600 	2.1e-16 	48.2 	1.3e-10 	29.2	
STEVOR1.hmm 	PfCD01_000005600 	2.4e-172 	560.0 	2.7e-172 	559.9	
RIFIN-A.hmm 	PfCD01_000005900 	1.2e-151 	493.0 	1.3e-151 	492.8	
STEVOR1.hmm 	PfCD01_000005900 	1.5e-11 	32.0 	9.7e-10 	26.1	
RIFIN-B.hmm 	PfCD01_000005900 	2.8e-101 	327.1 	5.9e-55 	174.9	
RIFIN-B.hmm 	PfCD01_000006000 	1.5e-10 	29.0 	1.5e-10 	29.0	
RIFIN-A.hmm 	PfCD01_000006000 	4.9e-10 	27.3 	4e-08 	21.0	
STEVOR1.hmm 	PfCD01_000006000 	8e-156 	505.8 	9e-156 	505.6	
RIFIN-B.hmm 	PfCD01_000006100 	1.2e-105 	341.5 	3.4e-59 	188.8	
STEVOR1.hmm 	PfCD01_000006100 	1.9e-11 	31.7 	2.7e-08 	21.3	
RIFIN-A.hmm 	PfCD01_000006100 	1e-139 	453.8 	1.1e-139 	453.6	
STEVOR1.hmm 	PfCD01_000006300 	1e-13 	39.1 	1.6e-10 	28.6	
RIFIN-A.hmm 	PfCD01_000006300 	2.6e-99 	320.9 	3.5e-61 	195.5	
RIFIN-B.hmm 	PfCD01_000006300 	6.3e-141 	457.4 	7.2e-141 	457.2	
RIFIN-B.hmm 	PfCD01_000006400 	2e-99 	321.0 	9e-53 	167.7	
RIFIN-A.hmm 	PfCD01_000006400 	4.9e-150 	487.7 	5.5e-150 	487.5	
STEVOR1.hmm 	PfCD01_000006400 	5.6e-10 	26.8 	3.3e-07 	17.7	
RIFIN-B.hmm 	PfCD01_000006500 	2.2e-104 	337.3 	2.9e-57 	182.4	
RIFIN-A.hmm 	PfCD01_000006500 	6.6e-149 	484.0 	7.5e-149 	483.8	
STEVOR1.hmm 	PfCD01_000006500 	9e-11 	29.4 	2e-07 	18.4	
STEVOR1.hmm 	PfCD01_000007400 	1.8e-11 	31.7 	2e-07 	18.5	
RIFIN-A.hmm 	PfCD01_000007400 	2e-136 	442.9 	2.2e-136 	442.8	
RIFIN-B.hmm 	PfCD01_000007400 	6.5e-93 	299.6 	2.5e-50 	159.7	
STEVOR1.hmm 	PfCD01_000007600 	2.7e-10 	27.9 	1.5e-07 	18.9	
RIFIN-A.hmm 	PfCD01_000007600 	3.2e-106 	343.6 	8.2e-65 	207.4	
RIFIN-B.hmm 	PfCD01_000007600 	3e-144 	468.3 	3.4e-144 	468.1	
RIFIN-A.hmm 	PfCD01_000007800 	1.6e-134 	436.7 	1.8e-134 	436.5	
RIFIN-B.hmm 	PfCD01_000007800 	2.7e-91 	294.3 	7.9e-48 	151.4	
STEVOR1.hmm 	PfCD01_000007800 	3e-16 	47.4 	2.6e-10 	27.9	
RIFIN-B.hmm 	PfCD01_000007900 	1.3e-13 	39.0 	2.7e-12 	34.7	
RIFIN-A.hmm 	PfCD01_000007900 	1.9e-13 	38.5 	1.1e-10 	29.4	
STEVOR1.hmm 	PfCD01_000007900 	9.3e-163 	528.5 	1e-162 	528.4	
RIFIN-A.hmm 	PfCD01_000008400 	1.4e-147 	479.6 	1.6e-147 	479.4	
RIFIN-B.hmm 	PfCD01_000008400 	1e-111 	361.4 	1.8e-67 	216.0	
STEVOR1.hmm 	PfCD01_000008400 	4.2e-10 	27.2 	1.2e-08 	22.4	
RIFIN-B.hmm 	PfCD01_000008600 	1.2e-13 	39.1 	2e-12 	35.1	
RIFIN-A.hmm 	PfCD01_000008600 	1.6e-13 	38.7 	5e-11 	30.6	
STEVOR1.hmm 	PfCD01_000008600 	1e-161 	525.1 	1.3e-161 	524.8	
RIFIN-A.hmm 	PfCD01_000008700 	2.6e-100 	324.2 	2.1e-60 	192.9	
RIFIN-B.hmm 	PfCD01_000008700 	2.7e-134 	435.6 	3e-134 	435.4	
STEVOR1.hmm 	PfCD01_000008700 	2.8e-16 	47.5 	4.6e-12 	33.7	
STEVOR1.hmm 	PfCD01_000010400 	1.8e-14 	41.6 	1.5e-09 	25.5	
RIFIN-B.hmm 	PfCD01_000010400 	2.2e-119 	386.6 	2.9e-68 	218.6	
RIFIN-A.hmm 	PfCD01_000010400 	2.9e-156 	508.2 	3.2e-156 	508.0	
STEVOR1.hmm 	PfCD01_010006100 	1.7e-11 	31.8 	1.3e-07 	19.1	
RIFIN-B.hmm 	PfCD01_010006100 	1.7e-113 	367.2 	5.1e-66 	211.2	
RIFIN-A.hmm 	PfCD01_010006100 	3.9e-150 	488.0 	4.3e-150 	487.9	
RIFIN-B.hmm 	PfCD01_010006300 	1.8e-12 	35.3 	1.9e-11 	31.9	
STEVOR1.hmm 	PfCD01_010006300 	5.9e-162 	525.9 	6.7e-162 	525.7	
RIFIN-A.hmm 	PfCD01_010006300 	7.8e-11 	29.9 	3.7e-10 	27.7	
RIFIN-A.hmm 	PfCD01_010006400 	2.3e-93 	301.3 	5.6e-53 	168.5	
STEVOR1.hmm 	PfCD01_010006400 	3.4e-17 	50.6 	1.3e-11 	32.2	
RIFIN-B.hmm 	PfCD01_010006400 	9.6e-149 	483.1 	1.1e-148 	482.9	
RIFIN-B.hmm 	PfCD01_010018600 	1.5e-125 	406.8 	3.9e-125 	405.5	
RIFIN-A.hmm 	PfCD01_010018600 	6.5e-83 	267.0 	5.5e-45 	142.3	
STEVOR1.hmm 	PfCD01_010018600 	9.3e-15 	42.5 	1.7e-09 	25.3	
STEVOR1.hmm 	PfCD01_010019200 	1.2e-10 	29.1 	3.9e-08 	20.8	
RIFIN-A.hmm 	PfCD01_010019200 	7.2e-150 	487.1 	8.5e-150 	486.9	
RIFIN-B.hmm 	PfCD01_010019200 	9.6e-100 	322.0 	1.4e-52 	167.1	
STEVOR1.hmm 	PfCD01_010019300 	2.4e-08 	21.5 	1.4e-06 	15.7	
