source:/mnt/hc-storage/users/freyja/get_pangenes/inputs_for_growth_pangenes/PlasmoDB68_PfalciparumNF135C10_0taxa_2neigh_algMmap_/PlasmoDB-68PfalciparumNF135C10	PlasmoDB-68_PfalciparumNF135C10	PlasmoDB-68_Pfalciparum7G8-2019	PlasmoDB-68_PfalciparumIT	PlasmoDB-68_Pfalciparum7G8	PlasmoDB-68_PfalciparumNF166	PlasmoDB-68_PfalciparumDd2	PlasmoDB-68_PfalciparumHB3	PlasmoDB-68_PfalciparumKH02	PlasmoDB-68_Pfalciparum3D7	PlasmoDB-68_PfalciparumSD01	PlasmoDB-68_PfalciparumKE01	PlasmoDB-68_PfalciparumNF54	PlasmoDB-68_PfalciparumSN01	PlasmoDB-68_PfalciparumGB4	PlasmoDB-68_PfalciparumKH01	PlasmoDB-68_PfalciparumGN01	PlasmoDB-68_PfalciparumGA01	PlasmoDB-68_PfalciparumCD01	PlasmoDB-68_PfalciparumTG01	PlasmoDB-68_PfalciparumML01	
chrunsorted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
PF3D7_0100100	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	
PF3D7_0100200	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	
PF3D7_0100300	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	
PF3D7_0100400	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	
PF3D7_0100600	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	
PF3D7_0100700	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PF3D7_0100800	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PF3D7_0100900	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PF3D7_0101000	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	
PF3D7_0101100	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	1	
PF3D7_0101200	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	
PF3D7_0101300	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	
PF3D7_0101600	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	
PF3D7_0101800	0	0	1	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	
PF3D7_0101900	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PfNF135_010006700	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	
PfNF135_010006800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007000	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010007900	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	
PfNF135_010008000	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	
PfNF135_010008100	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	
PfNF135_010008200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010008300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010008400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010008500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010008600	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010008700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PF3D7_0104300	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
