genomes	PlasmoDB-68_PfalciparumDd2	PlasmoDB-68_PfalciparumCD01	PlasmoDB-68_PfalciparumGA01	PlasmoDB-68_PfalciparumNF166	PlasmoDB-68_PfalciparumNF54	PlasmoDB-68_PfalciparumSN01	PlasmoDB-68_PfalciparumKH02	PlasmoDB-68_Pfalciparum3D7	PlasmoDB-68_PfalciparumKE01	PlasmoDB-68_PfalciparumIT	PlasmoDB-68_PfalciparumGB4	PlasmoDB-68_PfalciparumHB3	PlasmoDB-68_Pfalciparum7G8-2019	PlasmoDB-68_Pfalciparum7G8	PlasmoDB-68_PfalciparumKH01	PlasmoDB-68_PfalciparumGN01
PlasmoDB-68_PfalciparumDd2	100.00	94.71	94.76	94.00	93.80	94.69	95.63	94.81	95.52	95.77	95.03	95.90	95.22	95.94	95.03	94.75
PlasmoDB-68_PfalciparumCD01	94.71	100.00	94.13	93.35	93.38	93.97	94.23	94.12	94.57	94.65	94.22	94.87	94.33	94.93	94.14	94.01
PlasmoDB-68_PfalciparumGA01	94.76	94.13	100.00	93.44	93.87	94.58	94.49	94.69	94.97	94.73	94.21	95.00	94.11	94.91	94.23	94.04
PlasmoDB-68_PfalciparumNF166	94.00	93.35	93.44	100.00	93.61	93.61	93.92	94.05	93.58	93.98	93.53	93.95	94.15	94.21	93.55	93.51
PlasmoDB-68_PfalciparumNF54	93.80	93.38	93.87	93.61	100.00	93.61	93.77	98.08	93.87	93.72	93.57	93.98	93.73	93.82	93.63	93.54
PlasmoDB-68_PfalciparumSN01	94.69	93.97	94.58	93.61	93.61	100.00	94.50	94.50	94.60	94.57	94.12	94.90	94.29	94.93	94.31	94.04
PlasmoDB-68_PfalciparumKH02	95.63	94.23	94.49	93.92	93.77	94.50	100.00	94.70	95.03	95.27	94.48	95.30	94.80	95.45	94.68	94.45
PlasmoDB-68_Pfalciparum3D7	94.81	94.12	94.69	94.05	98.08	94.50	94.70	100.00	94.80	94.89	94.60	94.78	94.12	94.74	94.60	94.49
PlasmoDB-68_PfalciparumKE01	95.52	94.57	94.97	93.58	93.87	94.60	95.03	94.80	100.00	95.09	94.75	95.28	94.74	95.51	94.84	94.68
PlasmoDB-68_PfalciparumIT	95.77	94.65	94.73	93.98	93.72	94.57	95.27	94.89	95.09	100.00	94.84	95.63	95.21	95.94	94.82	94.64
PlasmoDB-68_PfalciparumGB4	95.03	94.22	94.21	93.53	93.57	94.12	94.48	94.60	94.75	94.84	100.00	94.88	94.39	95.06	94.38	94.32
PlasmoDB-68_PfalciparumHB3	95.90	94.87	95.00	93.95	93.98	94.90	95.30	94.78	95.28	95.63	94.88	100.00	95.08	95.91	95.01	94.92
PlasmoDB-68_Pfalciparum7G8-2019	95.22	94.33	94.11	94.15	93.73	94.29	94.80	94.12	94.74	95.21	94.39	95.08	100.00	98.48	94.44	94.31
PlasmoDB-68_Pfalciparum7G8	95.94	94.93	94.91	94.21	93.82	94.93	95.45	94.74	95.51	95.94	95.06	95.91	98.48	100.00	95.15	95.01
PlasmoDB-68_PfalciparumKH01	95.03	94.14	94.23	93.55	93.63	94.31	94.68	94.60	94.84	94.82	94.38	95.01	94.44	95.15	100.00	94.32
PlasmoDB-68_PfalciparumGN01	94.75	94.01	94.04	93.51	93.54	94.04	94.45	94.49	94.68	94.64	94.32	94.92	94.31	95.01	94.32	100.00
