RIFIN-A.hmm 	PfSN01_000005100 	1.5e-124 	403.8 	1.8e-124 	403.6	
STEVOR1.hmm 	PfSN01_000005100 	1.6e-09 	25.3 	8.5e-07 	16.4	
RIFIN-B.hmm 	PfSN01_000005100 	8.5e-92 	295.9 	3.7e-52 	165.7	
RIFIN-A.hmm 	PfSN01_000005200 	1.4e-92 	298.8 	9.1e-57 	181.0	
STEVOR1.hmm 	PfSN01_000005200 	1.8e-09 	25.2 	1.9e-08 	21.8	
RIFIN-B.hmm 	PfSN01_000005200 	2.9e-131 	425.6 	3.3e-131 	425.4	
STEVOR1.hmm 	PfSN01_000005300 	1.6e-09 	25.4 	8.4e-07 	16.4	
RIFIN-B.hmm 	PfSN01_000005300 	3.1e-108 	350.0 	2.4e-59 	189.3	
RIFIN-A.hmm 	PfSN01_000005300 	5e-153 	497.5 	5.6e-153 	497.4	
RIFIN-A.hmm 	PfSN01_000005500 	2.3e-149 	485.5 	2.5e-149 	485.3	
STEVOR1.hmm 	PfSN01_000005500 	4e-14 	40.5 	9e-09 	22.9	
RIFIN-B.hmm 	PfSN01_000005500 	8.9e-117 	378.0 	7.1e-66 	210.7	
STEVOR1.hmm 	PfSN01_000006800 	1.1e-165 	538.2 	1.2e-165 	538.1	
RIFIN-B.hmm 	PfSN01_000006800 	5e-11 	30.5 	5.8e-10 	27.0	
RIFIN-A.hmm 	PfSN01_000006800 	8.2e-12 	33.2 	3.1e-08 	21.4	
RIFIN-B.hmm 	PfSN01_000006900 	1.4e-99 	321.5 	2.9e-54 	172.6	
STEVOR1.hmm 	PfSN01_000006900 	2.7e-12 	34.5 	6.6e-08 	20.0	
RIFIN-A.hmm 	PfSN01_000006900 	4.1e-153 	497.8 	4.6e-153 	497.7	
RIFIN-A.hmm 	PfSN01_000009600 	1.1e-135 	440.5 	1.2e-135 	440.3	
RIFIN-B.hmm 	PfSN01_000009600 	5.6e-117 	378.7 	2.6e-64 	205.6	
STEVOR1.hmm 	PfSN01_000009600 	5e-10 	27.0 	7.7e-07 	16.5	
RIFIN-A.hmm 	PfSN01_000010000 	1.2e-41 	131.3 	1.4e-41 	131.1	
STEVOR1.hmm 	PfSN01_000010000 	2.2e-09 	24.9 	3e-09 	24.5	
RIFIN-B.hmm 	PfSN01_000010000 	4.6e-40 	125.9 	5.4e-40 	125.7	
STEVOR1.hmm 	PfSN01_000010100 	1.9e-11 	31.6 	1.5e-08 	22.2	
RIFIN-B.hmm 	PfSN01_000010100 	5.8e-104 	335.9 	3.3e-60 	192.1	
RIFIN-A.hmm 	PfSN01_000010100 	8.4e-152 	493.5 	9.5e-152 	493.3	
RIFIN-B.hmm 	PfSN01_000011400 	1.1e-138 	450.0 	1.3e-138 	449.8	
RIFIN-A.hmm 	PfSN01_000011400 	4.1e-106 	343.3 	8.9e-59 	187.6	
STEVOR1.hmm 	PfSN01_000011400 	7.9e-18 	52.6 	2e-12 	34.9	
RIFIN-A.hmm 	PfSN01_000011500 	1.9e-12 	35.3 	2.2e-08 	21.9	
RIFIN-B.hmm 	PfSN01_000011500 	2.2e-14 	41.6 	4.3e-10 	27.4	
STEVOR1.hmm 	PfSN01_000011500 	6.6e-169 	548.7 	7.3e-169 	548.6	
RIFIN-B.hmm 	PfSN01_000012000 	1.1e-103 	335.0 	7.7e-58 	184.3	
STEVOR1.hmm 	PfSN01_000012000 	3.2e-11 	30.9 	2.5e-07 	18.2	
RIFIN-A.hmm 	PfSN01_000012000 	4.3e-156 	507.6 	4.9e-156 	507.4	
RIFIN-A.hmm 	PfSN01_000012900 	2.1e-143 	465.9 	2.3e-143 	465.7	
STEVOR1.hmm 	PfSN01_000012900 	2e-06 	15.2 	3e-05 	11.3	
RIFIN-B.hmm 	PfSN01_000012900 	7.4e-98 	315.8 	3.3e-55 	175.7	
RIFIN-A.hmm 	PfSN01_000013100 	1e-121 	394.6 	1.3e-121 	394.3	
STEVOR1.hmm 	PfSN01_000013100 	9.3e-08 	19.5 	1.7e-07 	18.7	
RIFIN-B.hmm 	PfSN01_000013100 	9.5e-74 	236.6 	2.2e-49 	156.5	
STEVOR1.hmm 	PfSN01_000013700 	1.3e-12 	35.5 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfSN01_000013700 	3.1e-100 	323.7 	1.6e-57 	183.3	
RIFIN-A.hmm 	PfSN01_000013700 	3.6e-143 	465.1 	4.1e-143 	464.9	
RIFIN-B.hmm 	PfSN01_000013800 	1.1e-108 	351.4 	7.1e-65 	207.5	
RIFIN-A.hmm 	PfSN01_000013800 	1.1e-146 	476.7 	1.2e-146 	476.5	
STEVOR1.hmm 	PfSN01_000013800 	3.2e-11 	30.9 	2.6e-08 	21.4	
STEVOR1.hmm 	PfSN01_000013900 	1.5e-17 	51.7 	2.8e-14 	41.0	
RIFIN-A.hmm 	PfSN01_000013900 	1.9e-128 	416.7 	2.4e-128 	416.4	
RIFIN-B.hmm 	PfSN01_000013900 	3.6e-87 	280.7 	9.1e-49 	154.5	
RIFIN-B.hmm 	PfSN01_000014000 	2.4e-100 	324.0 	2.1e-54 	173.0	
STEVOR1.hmm 	PfSN01_000014000 	4.7e-12 	33.6 	7.4e-09 	23.2	
RIFIN-A.hmm 	PfSN01_000014000 	9e-141 	457.2 	1e-140 	457.1	
RIFIN-B.hmm 	PfSN01_000014400 	3.7e-79 	254.4 	1.8e-55 	176.6	
STEVOR1.hmm 	PfSN01_000014400 	3e-10 	27.7 	3e-10 	27.7	
RIFIN-A.hmm 	PfSN01_000014400 	7.4e-115 	372.0 	8.2e-115 	371.9	
RIFIN-A.hmm 	PfSN01_000014600 	1.4e-10 	29.1 	3e-08 	21.5	
STEVOR1.hmm 	PfSN01_000014600 	2.2e-168 	547.0 	2.4e-168 	546.9	
RIFIN-B.hmm 	PfSN01_000014600 	4.9e-14 	40.4 	3.8e-10 	27.6	
RIFIN-A.hmm 	PfSN01_000014800 	1.4e-147 	479.6 	1.6e-147 	479.5	
RIFIN-B.hmm 	PfSN01_000014800 	2.5e-101 	327.3 	1.4e-53 	170.3	
STEVOR1.hmm 	PfSN01_000014800 	5.5e-08 	20.3 	4.4e-06 	14.0	
RIFIN-A.hmm 	PfSN01_000014900 	1.9e-10 	28.7 	7.5e-07 	16.8	
STEVOR1.hmm 	PfSN01_000014900 	1e-164 	535.0 	1.1e-164 	534.8	
RIFIN-B.hmm 	PfSN01_000014900 	2.7e-11 	31.4 	9e-09 	23.1	
RIFIN-B.hmm 	PfSN01_000015000 	1.1e-93 	302.1 	2e-58 	186.3	
RIFIN-A.hmm 	PfSN01_000015000 	1.2e-136 	443.7 	1.3e-136 	443.5	
STEVOR1.hmm 	PfSN01_000015000 	6.5e-10 	26.6 	8.9e-08 	19.6	
STEVOR1.hmm 	PfSN01_000015100 	1.2e-10 	29.1 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfSN01_000015100 	1.8e-113 	367.5 	1e-83 	269.6	
RIFIN-B.hmm 	PfSN01_000015100 	3.4e-95 	307.1 	3.9e-95 	306.9	
RIFIN-A.hmm 	PfSN01_000015200 	1.5e-12 	35.6 	2.6e-08 	21.7	
STEVOR1.hmm 	PfSN01_000015200 	3.5e-166 	539.8 	3.9e-166 	539.7	
RIFIN-B.hmm 	PfSN01_000015200 	8.8e-15 	42.8 	9e-10 	26.4	
RIFIN-B.hmm 	PfSN01_000015300 	1.3e-105 	341.3 	8.7e-61 	194.0	
RIFIN-A.hmm 	PfSN01_000015300 	6.5e-146 	474.1 	7.3e-146 	474.0	
STEVOR1.hmm 	PfSN01_000015300 	9.1e-08 	19.6 	9.1e-08 	19.6	
STEVOR1.hmm 	PfSN01_000015400 	4.8e-09 	23.8 	6.3e-08 	20.1	
RIFIN-A.hmm 	PfSN01_000015400 	7.3e-150 	487.1 	8.2e-150 	487.0	
RIFIN-B.hmm 	PfSN01_000015400 	7.5e-116 	375.0 	3.5e-70 	224.9	
