Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)
PF3D7_0100100	PF3D7_0100100.1	Pf3D7_01_v3:29,510..37,126(+)	erythrocyte membrane protein 1, PfEMP1	1	1	1
PF3D7_0100300	PF3D7_0100300.1	Pf3D7_01_v3:42,367..46,507(-)	erythrocyte membrane protein 1, PfEMP1	1	1	1
PF3D7_0101300	PF3D7_0101300.1	Pf3D7_01_v3:74,295..75,622(+)	Pfmc-2TM Maurer's cleft two transmembrane protein	4	8	7
PF3D7_0102200	PF3D7_0102200.1	Pf3D7_01_v3:97,590..103,615(+)	ring-infected erythrocyte surface antigen	28	239	74
PF3D7_0102500	PF3D7_0102500.1	Pf3D7_01_v3:109,005..117,516(-)	erythrocyte binding antigen-181	7	46	29
PF3D7_0102600	PF3D7_0102600.1	Pf3D7_01_v3:118,812..122,534(-)	serine/threonine protein kinase, FIKK family	1	1	1
PF3D7_0102900	PF3D7_0102900.1	Pf3D7_01_v3:128,569..131,554(-)	aspartate--tRNA ligase	16	174	36
PF3D7_0103000	PF3D7_0103000.1	Pf3D7_01_v3:131,609..134,133(-)	vacuolar protein sorting-associated protein VTA1, putative	5	14	7
PF3D7_0103100	PF3D7_0103100.1	Pf3D7_01_v3:134,155..140,371(-)	vacuolar protein sorting-associated protein 51, putative	4	5	5
PF3D7_0103200	PF3D7_0103200.1	Pf3D7_01_v3:140,494..143,049(-)	nucleoside transporter 4	20	47	17
PF3D7_0103300	PF3D7_0103300.1	Pf3D7_01_v3:143,389..146,959(-)	conserved protein, unknown function	7	11	11
PF3D7_0103400	PF3D7_0103400.1	Pf3D7_01_v3:147,031..152,795(-)	zinc-carboxypeptidase, putative	3	4	3
PF3D7_0103800	PF3D7_0103800.1	Pf3D7_01_v3:168,768..171,442(-)	actin-related protein ARP1, putative	9	72	24
PF3D7_0103900	PF3D7_0103900.1	Pf3D7_01_v3:172,470..175,055(+)	parasite-infected erythrocyte surface protein	19	170	34
PF3D7_0104000	PF3D7_0104000.1	Pf3D7_01_v3:175,609..176,376(+)	thrombospondin-related sporozoite protein	18	74	13
PF3D7_0104100	PF3D7_0104100.1	Pf3D7_01_v3:177,187..181,825(+)	protein E140, putative	12	130	42
PF3D7_0104200	PF3D7_0104200.1	Pf3D7_01_v3:182,205..184,820(-)	StAR-related lipid transfer protein	17	84	25
PF3D7_0104300	PF3D7_0104300.1	Pf3D7_01_v3:188,420..201,324(+)	ubiquitin carboxyl-terminal hydrolase 1, putative	11	64	58
PF3D7_0104400	PF3D7_0104400.1	Pf3D7_01_v3:201,354..204,250(+)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	12	31	10
PF3D7_0104500	PF3D7_0104500.1	Pf3D7_01_v3:204,368..205,612(-)	conserved protein, unknown function	12	65	15
PF3D7_0104600	PF3D7_0104600.1	Pf3D7_01_v3:205,812..210,273(+)	conserved Plasmodium protein, unknown function	2	3	3
PF3D7_0104700	PF3D7_0104700.1	Pf3D7_01_v3:210,870..213,005(+)	major facilitator superfamily-related transporter, putative	1	1	1
PF3D7_0104800	PF3D7_0104800.1	Pf3D7_01_v3:215,143..217,616(+)	novel putative transporter 1, putative	10	15	12
PF3D7_0105200	PF3D7_0105200.1	Pf3D7_01_v3:222,086..224,501(-)	RAP protein RAP1	26	172	35
PF3D7_0105300	PF3D7_0105300.1	Pf3D7_01_v3:224,638..226,017(-)	cyclase-associated protein	10	26	8
PF3D7_0105400	PF3D7_0105400.1	Pf3D7_01_v3:226,036..227,419(-)	conserved Plasmodium protein, unknown function	2	2	1
PF3D7_0105400	PF3D7_0105400.2	Pf3D7_01_v3:226,036..227,419(-)	conserved Plasmodium protein, unknown function	2	2	1
PF3D7_0105600	PF3D7_0105600.1	Pf3D7_01_v3:229,943..234,464(-)	FtsJ-like methyltransferase, putative	7	8	5
PF3D7_0105700	PF3D7_0105700.1	Pf3D7_01_v3:236,742..248,183(+)	asparagine-rich antigen Pfa35-2	11	54	41
PF3D7_0105800	PF3D7_0105800.1	Pf3D7_01_v3:248,434..253,057(-)	cyclin-dependent kinases regulatory subunit, putative	9	35	25
PF3D7_0106100	PF3D7_0106100.1	Pf3D7_01_v3:260,105..262,008(-)	V-type proton ATPase subunit C, putative	18	157	33
PF3D7_0106300	PF3D7_0106300.1	Pf3D7_01_v3:264,487..270,234(-)	calcium-transporting ATPase	33	311	88
PF3D7_0106400	PF3D7_0106400.1	Pf3D7_01_v3:272,296..273,701(+)	pre-rRNA-processing protein TSR2, putative	11	23	5
PF3D7_0106600	PF3D7_0106600.1	Pf3D7_01_v3:279,115..280,014(+)	conserved Plasmodium protein, unknown function	2	4	4
PF3D7_0106700	PF3D7_0106700.1	Pf3D7_01_v3:280,595..285,875(+)	small ribosomal subunit assembling AARP2 protein	4	11	10
PF3D7_0106800	PF3D7_0106800.1	Pf3D7_01_v3:286,637..289,063(+)	ras-related protein Rab-5C	14	79	17
PF3D7_0106900	PF3D7_0106900.1	Pf3D7_01_v3:289,849..292,802(+)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	1	1	1
PF3D7_0107000	PF3D7_0107000.1	Pf3D7_01_v3:293,262..295,139(+)	centrin-1	16	51	18
PF3D7_0107300	PF3D7_0107300.1	Pf3D7_01_v3:299,464..301,151(-)	conserved Plasmodium protein, unknown function	1	3	3
PF3D7_0107400	PF3D7_0107400.1	Pf3D7_01_v3:302,509..304,236(+)	ATP synthase-associated protein, putative	9	44	10
PF3D7_0107500	PF3D7_0107500.1	Pf3D7_01_v3:303,437..311,928(-)	Niemann-Pick type C1-related protein	14	66	47
PF3D7_0107600	PF3D7_0107600.1	Pf3D7_01_v3:313,824..319,525(+)	eukaryotic translation initiation factor 2-alpha kinase 2, putative	1	2	2
PF3D7_0107700	PF3D7_0107700.1	Pf3D7_01_v3:320,168..321,508(+)	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative	1	2	2
PF3D7_0107800	PF3D7_0107800.1	Pf3D7_01_v3:321,757..326,180(+)	double-strand break repair protein MRE11	1	4	4
PF3D7_0107900	PF3D7_0107900.1	Pf3D7_01_v3:326,323..327,365(-)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0108000	PF3D7_0108000.1	Pf3D7_01_v3:328,171..329,995(-)	proteasome subunit beta type-3, putative	23	146	23
PF3D7_0108100	PF3D7_0108100.1	Pf3D7_01_v3:330,597..332,834(+)	conserved protein, unknown function	1	1	1
PF3D7_0108300	PF3D7_0108300.1	Pf3D7_01_v3:334,374..344,369(+)	conserved Plasmodium protein, unknown function	36	357	138
PF3D7_0108500	PF3D7_0108500.1	Pf3D7_01_v3:347,246..350,568(+)	ELM2 domain-containing protein, putative	14	29	10
PF3D7_0108600	PF3D7_0108600.1	Pf3D7_01_v3:348,892..351,747(-)	DnaJ domain-containing protein, putative	1	1	1
PF3D7_0108700	PF3D7_0108700.1	Pf3D7_01_v3:351,787..356,984(-)	secreted ookinete protein, putative	23	103	46
PF3D7_0108800	PF3D7_0108800.1	Pf3D7_01_v3:357,279..360,804(+)	mitochondrial carrier protein, putative	11	49	16
PF3D7_0109000	PF3D7_0109000.1	Pf3D7_01_v3:362,217..365,209(+)	photosensitized INA-labeled protein PHIL1	22	108	24
PF3D7_0109100	PF3D7_0109100.1	Pf3D7_01_v3:365,266..369,336(+)	LCCL domain-containing protein	5	188	64
PF3D7_0109200	PF3D7_0109200.1	Pf3D7_01_v3:369,251..370,907(-)	cleavage and polyadenylation specificity factor subunit 5, putative	8	19	8
PF3D7_0109300	PF3D7_0109300.1	Pf3D7_01_v3:371,146..373,063(-)	elongation of fatty acids protein, putative	4	8	3
PF3D7_0109400	PF3D7_0109400.1	Pf3D7_01_v3:373,864..375,683(-)	tubulin-specific chaperone a, putative	16	157	38
PF3D7_0109500	PF3D7_0109500.1	Pf3D7_01_v3:376,164..377,704(-)	N-acetyltransferase, GNAT family, putative	1	1	1
PF3D7_0109800	PF3D7_0109800.1	Pf3D7_01_v3:380,254..382,568(+)	phenylalanine--tRNA ligase alpha subunit	17	148	34
