STEVOR1.hmm 	PfIT_000006900 	1.8e-11 	31.8 	4.5e-08 	20.6	
RIFIN-A.hmm 	PfIT_000006900 	1.9e-148 	482.5 	2.1e-148 	482.3	
RIFIN-B.hmm 	PfIT_000006900 	3.3e-99 	320.3 	3.1e-54 	172.5	
RIFIN-B.hmm 	PfIT_000007000 	1.7e-145 	472.3 	2e-145 	472.2	
STEVOR1.hmm 	PfIT_000007000 	2.4e-12 	34.6 	1.6e-09 	25.3	
RIFIN-A.hmm 	PfIT_000007000 	5.1e-101 	326.5 	1.8e-65 	209.6	
RIFIN-A.hmm 	PfIT_000007100 	1.3e-10 	29.2 	2.7e-09 	24.9	
STEVOR1.hmm 	PfIT_000007100 	2e-171 	557.0 	2.2e-171 	556.8	
RIFIN-B.hmm 	PfIT_000007100 	4.3e-12 	34.0 	7.8e-11 	29.9	
RIFIN-B.hmm 	PfIT_000007300 	1.1e-11 	32.7 	1.1e-11 	32.7	
RIFIN-A.hmm 	PfIT_000007300 	2e-13 	38.4 	3.3e-11 	31.2	
STEVOR1.hmm 	PfIT_000007300 	5.8e-166 	539.1 	6.5e-166 	538.9	
RIFIN-B.hmm 	PfIT_000007400 	1.3e-144 	469.5 	1.4e-144 	469.3	
STEVOR1.hmm 	PfIT_000007400 	5.7e-11 	30.1 	1.7e-08 	22.0	
RIFIN-A.hmm 	PfIT_000007400 	6.5e-98 	316.3 	5.7e-53 	168.5	
RIFIN-A.hmm 	PfIT_000007500 	1e-136 	443.9 	1.2e-136 	443.7	
STEVOR1.hmm 	PfIT_000007500 	4.2e-11 	30.5 	3.9e-07 	17.5	
RIFIN-B.hmm 	PfIT_000007500 	4.3e-105 	339.6 	4.4e-54 	172.0	
RIFIN-B.hmm 	PfIT_000009600 	1.1e-98 	318.6 	7.3e-56 	177.8	
STEVOR1.hmm 	PfIT_000009600 	6e-08 	20.2 	2.5e-06 	14.9	
RIFIN-A.hmm 	PfIT_000009600 	9.1e-144 	467.1 	1e-143 	466.9	
RIFIN-B.hmm 	PfIT_000009700 	3.7e-112 	362.9 	4.4e-112 	362.6	
RIFIN-A.hmm 	PfIT_000009700 	4.1e-77 	247.9 	1.7e-42 	134.1	
STEVOR1.hmm 	PfIT_000009700 	8.4e-08 	19.7 	4.3e-06 	14.1	
RIFIN-B.hmm 	PfIT_000011500 	2.4e-107 	347.0 	1e-60 	193.8	
STEVOR1.hmm 	PfIT_000011500 	2e-11 	31.6 	1.3e-07 	19.1	
RIFIN-A.hmm 	PfIT_000011500 	3.1e-150 	488.4 	3.5e-150 	488.2	
STEVOR1.hmm 	PfIT_000011600 	1.6e-14 	41.8 	1.7e-09 	25.2	
RIFIN-B.hmm 	PfIT_000011600 	2.1e-153 	498.4 	2.3e-153 	498.2	
RIFIN-A.hmm 	PfIT_000011600 	3e-105 	340.4 	8e-66 	210.8	
RIFIN-B.hmm 	PfIT_000011800 	1.2e-82 	265.9 	1.2e-49 	157.4	
RIFIN-A.hmm 	PfIT_000011800 	1.4e-129 	420.5 	1.7e-129 	420.2	
STEVOR1.hmm 	PfIT_000011800 	7.5e-13 	36.3 	1.3e-10 	29.0	
STEVOR1.hmm 	PfIT_000011900 	3e-147 	477.6 	3.8e-147 	477.3	
RIFIN-A.hmm 	PfIT_000011900 	6.5e-10 	26.9 	2e-08 	22.0	
RIFIN-B.hmm 	PfIT_000011900 	6.5e-12 	33.4 	2.6e-08 	21.6	
STEVOR1.hmm 	PfIT_000012000 	1.1e-14 	42.4 	4.4e-10 	27.2	
RIFIN-A.hmm 	PfIT_000012000 	1.8e-149 	485.8 	2e-149 	485.7	
RIFIN-B.hmm 	PfIT_000012000 	5.8e-102 	329.3 	6.3e-55 	174.8	
RIFIN-B.hmm 	PfIT_010005100 	1.3e-96 	311.8 	2.4e-57 	182.7	
RIFIN-A.hmm 	PfIT_010005100 	2.6e-143 	465.6 	2.9e-143 	465.4	
STEVOR1.hmm 	PfIT_010005100 	2.7e-10 	27.9 	5.5e-08 	20.3	
STEVOR1.hmm 	PfIT_010005200 	6.8e-162 	525.7 	7.6e-162 	525.6	
RIFIN-B.hmm 	PfIT_010005200 	7.7e-13 	36.5 	9e-10 	26.4	
RIFIN-A.hmm 	PfIT_010005200 	9.2e-11 	29.7 	2.6e-08 	21.7	
STEVOR1.hmm 	PfIT_010005300 	1.1e-14 	42.3 	6.1e-10 	26.7	
RIFIN-B.hmm 	PfIT_010005300 	2.1e-146 	475.4 	2.3e-146 	475.2	
RIFIN-A.hmm 	PfIT_010005300 	5.1e-97 	313.4 	6e-52 	165.1	
STEVOR1.hmm 	PfIT_010017700 	1.2e-14 	42.1 	3.1e-09 	24.4	
RIFIN-B.hmm 	PfIT_010017700 	1.9e-133 	432.8 	2.1e-133 	432.7	
RIFIN-A.hmm 	PfIT_010017700 	3e-92 	297.7 	4.3e-54 	172.2	
RIFIN-A.hmm 	PfIT_020005300 	2e-148 	482.4 	2.3e-148 	482.2	
RIFIN-B.hmm 	PfIT_020005300 	5.8e-109 	352.3 	2.9e-66 	212.0	
STEVOR1.hmm 	PfIT_020005300 	7.9e-13 	36.2 	3.4e-09 	24.3	
RIFIN-B.hmm 	PfIT_020005400 	1.6e-137 	446.2 	1.8e-137 	446.0	
STEVOR1.hmm 	PfIT_020005400 	3.2e-09 	24.4 	2.5e-07 	18.1	
RIFIN-A.hmm 	PfIT_020005400 	3.9e-99 	320.3 	2.6e-62 	199.2	
