source:/mnt/hc-storage/users/freyja/get_pangenes/inputs_pseudo_v2_pangenes/PlasmoDB68_PfalciparumDd2_0taxa_2neigh_algMmap_/PlasmoDB-68PfalciparumDd2	PlasmoDB-68_PfalciparumDd2	PlasmoDB-68_Pfalciparum7G8	PlasmoDB-68_PfalciparumHB3	PlasmoDB-68_PfalciparumIT	PlasmoDB-68_PfalciparumKH02	PlasmoDB-68_PfalciparumKE01	PlasmoDB-68_Pfalciparum7G8-2019	PlasmoDB-68_PfalciparumGB4	PlasmoDB-68_PfalciparumKH01	PlasmoDB-68_Pfalciparum3D7	PlasmoDB-68_PfalciparumGA01	PlasmoDB-68_PfalciparumGN01	PlasmoDB-68_PfalciparumCD01	PlasmoDB-68_PfalciparumSN01	PlasmoDB-68_PfalciparumNF166	PlasmoDB-68_PfalciparumNF54	
chrunsorted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
PF3D7_0100100	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	
PF3D7_0100200	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	
PF3D7_0100300	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	
PF3D7_0100400	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	
PF3D7_0100600	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	
PF3D7_0100700	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0100800	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0100900	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0101000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0101100	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	
PF3D7_0101200	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	
PF3D7_0101300	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	
PF3D7_0101400	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	
PfDd2_060036900	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	
PfDd2_020025300	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PfDd2_020025100	1	0	1	1	2	0	0	2	1	1	0	1	1	1	0	1	
PfDd2_050038200	1	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	
PF3D7_0101900	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PfDd2_010005800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010005900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010006900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
