RIFIN-B.hmm 	PF3D7_0100200 	1.4e-104 	338.0 	2.1e-58 	186.2	
RIFIN-A.hmm 	PF3D7_0100200 	1.4e-149 	486.2 	1.6e-149 	486.0	
STEVOR1.hmm 	PF3D7_0100200 	7.8e-13 	36.2 	1.4e-08 	22.3	
RIFIN-B.hmm 	PF3D7_0100400 	1.1e-102 	331.7 	2.1e-54 	173.0	
RIFIN-A.hmm 	PF3D7_0100400 	2.1e-151 	492.2 	2.4e-151 	492.0	
STEVOR1.hmm 	PF3D7_0100400 	5.3e-13 	36.8 	2.9e-08 	21.2	
RIFIN-B.hmm 	PF3D7_0100600 	2.5e-134 	435.7 	2.9e-134 	435.5	
RIFIN-A.hmm 	PF3D7_0100600 	4.2e-93 	300.5 	1.6e-58 	186.8	
STEVOR1.hmm 	PF3D7_0100600 	8.1e-14 	39.5 	2.1e-09 	25.0	
RIFIN-B.hmm 	PF3D7_0100800 	1.4e-100 	324.8 	3.4e-53 	169.1	
STEVOR1.hmm 	PF3D7_0100800 	1e-13 	39.1 	1.2e-10 	29.1	
RIFIN-A.hmm 	PF3D7_0100800 	5.4e-135 	438.2 	6.1e-135 	438.1	
RIFIN-A.hmm 	PF3D7_0100900 	1.1e-145 	473.4 	1.2e-145 	473.2	
RIFIN-B.hmm 	PF3D7_0100900 	5e-100 	323.0 	7.3e-53 	168.0	
STEVOR1.hmm 	PF3D7_0100900 	7.2e-08 	19.9 	6.6e-07 	16.7	
STEVOR1.hmm 	PF3D7_0101000 	1.5e-15 	45.1 	6.6e-12 	33.2	
RIFIN-B.hmm 	PF3D7_0101000 	2.3e-96 	310.9 	3.5e-50 	159.2	
RIFIN-A.hmm 	PF3D7_0101000 	7.7e-134 	434.4 	8.7e-134 	434.3	
RIFIN-B.hmm 	PF3D7_0101600 	1.6e-106 	344.3 	2.8e-59 	189.0	
STEVOR1.hmm 	PF3D7_0101600 	5.5e-09 	23.6 	5.6e-08 	20.3	
RIFIN-A.hmm 	PF3D7_0101600 	6.6e-158 	513.6 	7.4e-158 	513.4	
STEVOR1.hmm 	PF3D7_0101800 	1e-160 	521.8 	1.3e-160 	521.5	
RIFIN-A.hmm 	PF3D7_0101800 	2.2e-08 	21.9 	8.1e-07 	16.7	
RIFIN-B.hmm 	PF3D7_0101800 	7e-11 	30.0 	2.2e-09 	25.1	
RIFIN-B.hmm 	PF3D7_0101900 	1.8e-149 	485.4 	2.1e-149 	485.3	
STEVOR1.hmm 	PF3D7_0101900 	2.1e-14 	41.4 	2.6e-10 	27.9	
RIFIN-A.hmm 	PF3D7_0101900 	3e-103 	333.9 	9.7e-63 	200.6	
STEVOR1.hmm 	PF3D7_0114700 	1.2e-14 	42.1 	3.1e-09 	24.4	
RIFIN-B.hmm 	PF3D7_0114700 	1.9e-133 	432.8 	2.1e-133 	432.7	
RIFIN-A.hmm 	PF3D7_0114700 	3e-92 	297.7 	4.3e-54 	172.2	
STEVOR1.hmm 	PF3D7_0115200 	1.2e-08 	22.5 	1.1e-07 	19.4	
RIFIN-B.hmm 	PF3D7_0115200 	6e-96 	309.6 	2.1e-51 	163.2	
RIFIN-A.hmm 	PF3D7_0115200 	7.1e-152 	493.7 	8e-152 	493.6	
STEVOR1.hmm 	PF3D7_0115300 	1.3e-09 	25.6 	1.3e-09 	25.6	
RIFIN-B.hmm 	PF3D7_0115300 	1e-146 	476.4 	1.2e-146 	476.2	
RIFIN-A.hmm 	PF3D7_0115300 	3e-100 	324.0 	9.5e-61 	194.1	
STEVOR1.hmm 	PF3D7_0115400 	2.1e-168 	547.1 	2.3e-168 	547.0	
RIFIN-A.hmm 	PF3D7_0115400 	5.4e-13 	37.0 	1.2e-09 	26.1	
RIFIN-B.hmm 	PF3D7_0115400 	6.2e-14 	40.1 	1.9e-11 	31.9	
STEVOR1.hmm 	PF3D7_0115600 	1.7e-14 	41.7 	2.8e-09 	24.6	
RIFIN-B.hmm 	PF3D7_0115600 	2.4e-111 	360.2 	1.8e-61 	196.3	
RIFIN-A.hmm 	PF3D7_0115600 	5.4e-155 	504.0 	6.1e-155 	503.8	
RIFIN-A.hmm 	PF3D7_0200200 	1.1e-138 	450.4 	1.2e-138 	450.2	
RIFIN-B.hmm 	PF3D7_0200200 	4.1e-110 	356.1 	9.1e-60 	190.7	
STEVOR1.hmm 	PF3D7_0200200 	4.2e-15 	43.7 	2.4e-09 	24.8	
RIFIN-A.hmm 	PF3D7_0200400 	1.1e-11 	32.7 	3e-11 	31.3	
STEVOR1.hmm 	PF3D7_0200400 	4.6e-167 	542.7 	5.1e-167 	542.5	
RIFIN-B.hmm 	PF3D7_0200400 	5.7e-13 	36.9 	4.2e-12 	34.1	
RIFIN-A.hmm 	PF3D7_0200500 	1.5e-153 	499.2 	1.7e-153 	499.0	
STEVOR1.hmm 	PF3D7_0200500 	2e-08 	21.7 	5.3e-07 	17.1	
RIFIN-B.hmm 	PF3D7_0200500 	8.3e-100 	322.3 	1.1e-53 	170.6	
RIFIN-A.hmm 	PF3D7_0200600 	1.1e-137 	447.1 	1.2e-137 	446.9	
RIFIN-B.hmm 	PF3D7_0200600 	7.2e-110 	355.3 	1e-59 	190.5	
STEVOR1.hmm 	PF3D7_0200600 	8.4e-17 	49.3 	1.4e-12 	35.4	
STEVOR1.hmm 	PF3D7_0200700 	1.7e-09 	25.3 	3e-08 	21.2	
RIFIN-B.hmm 	PF3D7_0200700 	3.6e-112 	362.9 	2.9e-65 	208.7	
RIFIN-A.hmm 	PF3D7_0200700 	3e-147 	478.5 	3.4e-147 	478.4	
RIFIN-A.hmm 	PF3D7_0201000 	1.2e-96 	312.1 	5.2e-57 	181.8	
RIFIN-B.hmm 	PF3D7_0201000 	1.3e-144 	469.5 	1.5e-144 	469.3	
STEVOR1.hmm 	PF3D7_0201000 	3.7e-11 	30.7 	7.5e-08 	19.8	
RIFIN-A.hmm 	PF3D7_0201200 	3.1e-138 	448.9 	3.5e-138 	448.7	
RIFIN-B.hmm 	PF3D7_0201200 	3.7e-104 	336.5 	1.6e-54 	173.4	
STEVOR1.hmm 	PF3D7_0201200 	8.2e-17 	49.3 	1e-10 	29.3	
RIFIN-B.hmm 	PF3D7_0201300 	1.3e-12 	35.8 	1.9e-12 	35.2	
STEVOR1.hmm 	PF3D7_0201300 	4e-176 	572.4 	4.5e-176 	572.3	
RIFIN-A.hmm 	PF3D7_0201300 	9.2e-11 	29.7 	9.2e-11 	29.7	
RIFIN-B.hmm 	PF3D7_0221400 	1.6e-12 	35.4 	3.1e-09 	24.6	
STEVOR1.hmm 	PF3D7_0221400 	2.1e-107 	346.8 	2.4e-107 	346.6	
RIFIN-A.hmm 	PF3D7_0221400 	4.2e-12 	34.1 	2e-09 	25.3	
STEVOR1.hmm 	PF3D7_0222500 	1.9e-14 	41.5 	8.8e-10 	26.2	
RIFIN-B.hmm 	PF3D7_0222500 	2.7e-147 	478.3 	3e-147 	478.2	
RIFIN-A.hmm 	PF3D7_0222500 	2.7e-99 	320.9 	7.8e-58 	184.5	
RIFIN-A.hmm 	PF3D7_0222600 	2.5e-147 	478.8 	2.8e-147 	478.6	
RIFIN-B.hmm 	PF3D7_0222600 	2.7e-95 	307.4 	9.5e-55 	174.2	
