genomes	PlasmoDB-68_PfalciparumNF135C10	PlasmoDB-68_PfalciparumKH01	PlasmoDB-68_PfalciparumSD01	PlasmoDB-68_PfalciparumDd2	PlasmoDB-68_PfalciparumSN01	PlasmoDB-68_PfalciparumGN01	PlasmoDB-68_PfalciparumNF166	PlasmoDB-68_PfalciparumGA01	PlasmoDB-68_PfalciparumTG01	PlasmoDB-68_PfalciparumCD01	PlasmoDB-68_PfalciparumML01	PlasmoDB-68_PfalciparumHB3	PlasmoDB-68_PfalciparumKE01	PlasmoDB-68_Pfalciparum7G8-2019	PlasmoDB-68_Pfalciparum3D7	PlasmoDB-68_Pfalciparum7G8	PlasmoDB-68_PfalciparumGB4	PlasmoDB-68_PfalciparumKH02	PlasmoDB-68_PfalciparumNF54	PlasmoDB-68_PfalciparumIT
PlasmoDB-68_PfalciparumNF135C10	100.00	90.43	90.96	91.17	90.62	90.42	91.30	90.35	87.32	90.19	85.46	91.16	90.81	91.96	91.03	91.39	90.50	91.13	90.71	91.54
PlasmoDB-68_PfalciparumKH01	90.43	100.00	94.30	94.22	93.41	93.46	92.30	93.38	90.23	93.12	88.25	94.24	93.93	92.72	93.57	94.26	93.50	93.86	92.14	94.00
PlasmoDB-68_PfalciparumSD01	90.96	94.30	100.00	94.83	93.95	94.28	92.83	94.27	90.55	93.91	88.79	95.32	94.42	93.53	94.25	95.18	94.30	94.44	93.05	94.62
PlasmoDB-68_PfalciparumDd2	91.17	94.22	94.83	100.00	94.59	94.28	92.96	94.08	90.66	93.81	88.38	95.54	95.40	93.92	94.88	95.27	94.86	95.24	93.11	95.75
PlasmoDB-68_PfalciparumSN01	90.62	93.41	93.95	94.59	100.00	93.52	92.61	93.88	90.53	93.07	88.21	94.58	94.55	93.18	94.69	94.46	94.00	94.26	92.84	94.66
PlasmoDB-68_PfalciparumGN01	90.42	93.46	94.28	94.28	93.52	100.00	92.25	93.36	90.23	93.20	88.33	94.14	94.15	92.72	94.05	94.19	93.81	93.85	92.58	94.17
PlasmoDB-68_PfalciparumNF166	91.30	92.30	92.83	92.96	92.61	92.25	100.00	92.10	89.30	91.84	87.65	92.98	92.57	93.78	93.00	93.19	92.55	92.95	92.78	93.21
PlasmoDB-68_PfalciparumGA01	90.35	93.38	94.27	94.08	93.88	93.36	92.10	100.00	89.92	93.10	88.14	94.34	94.30	92.54	94.21	94.16	93.75	93.92	92.75	94.26
PlasmoDB-68_PfalciparumTG01	87.32	90.23	90.55	90.66	90.53	90.23	89.30	89.92	100.00	89.69	85.52	90.93	90.38	89.86	90.72	90.99	90.63	90.46	89.75	90.69
PlasmoDB-68_PfalciparumCD01	90.19	93.12	93.91	93.81	93.07	93.20	91.84	93.10	89.69	100.00	88.08	94.01	93.65	92.54	93.21	93.95	93.39	93.39	92.05	93.70
PlasmoDB-68_PfalciparumML01	85.46	88.25	88.79	88.38	88.21	88.33	87.65	88.14	85.52	88.08	100.00	88.84	88.38	87.67	88.67	88.61	88.71	88.32	87.91	88.59
PlasmoDB-68_PfalciparumHB3	91.16	94.24	95.32	95.54	94.58	94.14	92.98	94.34	90.93	94.01	88.84	100.00	95.08	93.72	94.63	95.28	94.68	94.89	93.13	95.38
PlasmoDB-68_PfalciparumKE01	90.81	93.93	94.42	95.40	94.55	94.15	92.57	94.30	90.38	93.65	88.38	95.08	100.00	93.53	94.90	95.08	94.43	94.69	93.11	95.02
PlasmoDB-68_Pfalciparum7G8-2019	91.96	92.72	93.53	93.92	93.18	92.72	93.78	92.54	89.86	92.54	87.67	93.72	93.53	100.00	93.20	96.30	93.24	93.53	92.87	93.95
PlasmoDB-68_Pfalciparum3D7	91.03	93.57	94.25	94.88	94.69	94.05	93.00	94.21	90.72	93.21	88.67	94.63	94.90	93.20	100.00	94.39	94.37	94.48	97.05	95.17
PlasmoDB-68_Pfalciparum7G8	91.39	94.26	95.18	95.27	94.46	94.19	93.19	94.16	90.99	93.95	88.61	95.28	95.08	96.30	94.39	100.00	94.63	95.00	92.98	95.38
PlasmoDB-68_PfalciparumGB4	90.50	93.50	94.30	94.86	94.00	93.81	92.55	93.75	90.63	93.39	88.71	94.68	94.43	93.24	94.37	94.63	100.00	94.32	92.87	94.73
PlasmoDB-68_PfalciparumKH02	91.13	93.86	94.44	95.24	94.26	93.85	92.95	93.92	90.46	93.39	88.32	94.89	94.69	93.53	94.48	95.00	94.32	100.00	93.04	95.05
PlasmoDB-68_PfalciparumNF54	90.71	92.14	93.05	93.11	92.84	92.58	92.78	92.75	89.75	92.05	87.91	93.13	93.11	92.87	97.05	92.98	92.87	93.04	100.00	93.19
PlasmoDB-68_PfalciparumIT	91.54	94.00	94.62	95.75	94.66	94.17	93.21	94.26	90.69	93.70	88.59	95.38	95.02	93.95	95.17	95.38	94.73	95.05	93.19	100.00
