RIFIN-B.hmm 	PfGB4_000005300 	1.9e-07 	18.7 	3e-05 	11.5	
STEVOR1.hmm 	PfGB4_000005300 	4.6e-78 	250.4 	2.9e-56 	178.8	
RIFIN-A.hmm 	PfGB4_000005300 	6e-08 	20.4 	2.2e-05 	12.0	
STEVOR1.hmm 	PfGB4_000006300 	1.5e-13 	38.6 	3.3e-10 	27.6	
RIFIN-A.hmm 	PfGB4_000006300 	1.9e-103 	334.5 	1.3e-61 	196.9	
RIFIN-B.hmm 	PfGB4_000006300 	4.4e-140 	454.6 	4.9e-140 	454.4	
RIFIN-A.hmm 	PfGB4_000006400 	1.1e-12 	36.1 	1.2e-09 	26.0	
STEVOR1.hmm 	PfGB4_000006400 	1.3e-167 	544.5 	1.5e-167 	544.3	
RIFIN-B.hmm 	PfGB4_000006400 	2.9e-14 	41.1 	7.2e-11 	30.0	
RIFIN-B.hmm 	PfGB4_000006500 	2.5e-84 	271.4 	2.4e-47 	149.9	
STEVOR1.hmm 	PfGB4_000006500 	3e-11 	31.0 	2.3e-10 	28.1	
RIFIN-A.hmm 	PfGB4_000006500 	4.8e-117 	379.2 	5.5e-117 	379.0	
RIFIN-B.hmm 	PfGB4_000006600 	1e-83 	269.4 	4.7e-49 	155.5	
RIFIN-A.hmm 	PfGB4_000006600 	2e-130 	423.2 	2.5e-130 	422.9	
STEVOR1.hmm 	PfGB4_000006600 	3.7e-11 	30.7 	2.4e-08 	21.5	
RIFIN-B.hmm 	PfGB4_000006800 	1.9e-105 	340.8 	5.4e-56 	178.3	
STEVOR1.hmm 	PfGB4_000006800 	3.6e-14 	40.6 	1.2e-09 	25.8	
RIFIN-A.hmm 	PfGB4_000006800 	8.5e-146 	473.8 	9.5e-146 	473.6	
STEVOR1.hmm 	PfGB4_000007500 	4.2e-18 	53.5 	9.8e-12 	32.6	
RIFIN-A.hmm 	PfGB4_000007500 	4.8e-138 	448.3 	5.4e-138 	448.1	
RIFIN-B.hmm 	PfGB4_000007500 	7.8e-103 	332.2 	8.1e-56 	177.7	
RIFIN-B.hmm 	PfGB4_000007600 	1.1e-129 	420.4 	1.3e-129 	420.2	
STEVOR1.hmm 	PfGB4_000007600 	1.3e-08 	22.4 	1.4e-07 	19.0	
RIFIN-A.hmm 	PfGB4_000007600 	5.8e-97 	313.2 	1.9e-52 	166.8	
STEVOR1.hmm 	PfGB4_000007700 	3e-09 	24.4 	8.6e-09 	23.0	
RIFIN-A.hmm 	PfGB4_000007700 	4.6e-135 	438.5 	5.3e-135 	438.3	
RIFIN-B.hmm 	PfGB4_000007700 	6.1e-89 	286.5 	6.6e-49 	155.0	
STEVOR1.hmm 	PfGB4_000007800 	2.9e-08 	21.2 	1.1e-07 	19.3	
RIFIN-A.hmm 	PfGB4_000007800 	5.1e-146 	474.5 	5.7e-146 	474.3	
RIFIN-B.hmm 	PfGB4_000007800 	6e-100 	322.7 	2.6e-54 	172.7	
RIFIN-A.hmm 	PfGB4_000007900 	1.6e-88 	285.4 	2e-47 	150.3	
STEVOR1.hmm 	PfGB4_000007900 	2.4e-12 	34.6 	2.3e-08 	21.6	
RIFIN-B.hmm 	PfGB4_000007900 	5e-138 	447.8 	5.6e-138 	447.7	
STEVOR1.hmm 	PfGB4_000008000 	1.1e-11 	32.5 	3.6e-09 	24.2	
RIFIN-A.hmm 	PfGB4_000008000 	1e-146 	476.8 	1.2e-146 	476.6	
RIFIN-B.hmm 	PfGB4_000008000 	7.5e-102 	329.0 	1.1e-55 	177.2	
RIFIN-B.hmm 	PfGB4_000008100 	1.1e-108 	351.4 	1.5e-58 	186.6	
STEVOR1.hmm 	PfGB4_000008100 	1.4e-09 	25.6 	5.6e-07 	17.0	
