STEVOR1.hmm 	PfDd2_010005400 	1.5e-13 	38.6 	1.3e-08 	22.4	
RIFIN-B.hmm 	PfDd2_010005400 	3.6e-117 	379.3 	3.6e-66 	211.7	
RIFIN-A.hmm 	PfDd2_010005400 	4.7e-158 	514.1 	5.2e-158 	513.9	
RIFIN-A.hmm 	PfDd2_010005600 	1.9e-153 	498.9 	2.1e-153 	498.8	
RIFIN-B.hmm 	PfDd2_010005600 	5.1e-101 	326.2 	3.7e-58 	185.4	
STEVOR1.hmm 	PfDd2_010005600 	9.4e-13 	35.9 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfDd2_010005700 	3e-154 	501.2 	3.4e-154 	501.0	
STEVOR1.hmm 	PfDd2_010005700 	6.8e-17 	49.6 	5.7e-11 	30.1	
RIFIN-A.hmm 	PfDd2_010005700 	7.8e-104 	335.8 	2.9e-63 	202.4	
RIFIN-B.hmm 	PfDd2_010018200 	1.1e-133 	433.6 	1.2e-133 	433.4	
STEVOR1.hmm 	PfDd2_010018200 	1.1e-14 	42.3 	3.1e-09 	24.4	
RIFIN-A.hmm 	PfDd2_010018200 	2.9e-92 	297.7 	3.7e-54 	172.4	
RIFIN-A.hmm 	PfDd2_010018800 	4.5e-135 	438.5 	5e-135 	438.3	
RIFIN-B.hmm 	PfDd2_010018800 	8.4e-94 	302.5 	3.8e-58 	185.4	
RIFIN-B.hmm 	PfDd2_010018900 	1.2e-138 	449.9 	1.3e-138 	449.7	
RIFIN-A.hmm 	PfDd2_010018900 	2.6e-98 	317.6 	3.4e-54 	172.5	
STEVOR1.hmm 	PfDd2_010018900 	4.7e-09 	23.8 	4e-07 	17.5	
RIFIN-A.hmm 	PfDd2_010019000 	1.6e-108 	351.1 	9.3e-65 	207.3	
RIFIN-B.hmm 	PfDd2_010019000 	6e-133 	431.2 	6.7e-133 	431.0	
STEVOR1.hmm 	PfDd2_010019000 	9.7e-09 	22.8 	3.1e-07 	17.8	
RIFIN-A.hmm 	PfDd2_010019100 	1.5e-141 	459.8 	1.7e-141 	459.6	
RIFIN-B.hmm 	PfDd2_010019100 	2.1e-103 	334.0 	1.5e-56 	180.1	
STEVOR1.hmm 	PfDd2_010019100 	4e-09 	24.0 	6e-07 	16.9	
RIFIN-B.hmm 	PfDd2_010019200 	2.1e-99 	320.9 	4.7e-58 	185.0	
RIFIN-A.hmm 	PfDd2_010019200 	4.4e-133 	432.0 	4.9e-133 	431.8	
STEVOR1.hmm 	PfDd2_010019200 	4.8e-12 	33.6 	1.1e-09 	25.9	
RIFIN-B.hmm 	PfDd2_010019300 	3.4e-103 	333.4 	2.9e-58 	185.7	
RIFIN-A.hmm 	PfDd2_010019300 	3.5e-148 	481.6 	3.9e-148 	481.4	
STEVOR1.hmm 	PfDd2_010019300 	5.4e-13 	36.8 	1.5e-08 	22.2	
RIFIN-A.hmm 	PfDd2_020024100 	5.6e-12 	33.7 	1.3e-09 	25.9	
STEVOR1.hmm 	PfDd2_020024100 	7.4e-107 	345.0 	8.2e-107 	344.8	
RIFIN-B.hmm 	PfDd2_020024100 	8.2e-12 	33.1 	8.4e-09 	23.2	
RIFIN-B.hmm 	PfDd2_020024600 	2.4e-08 	21.7 	1.5e-07 	19.1	
STEVOR1.hmm 	PfDd2_020024600 	7.4e-119 	384.4 	8.3e-119 	384.2	
RIFIN-A.hmm 	PfDd2_020024600 	9.7e-08 	19.8 	6.6e-05 	10.4	
