RIFIN-A.hmm 	PfNF166_000006300 	2.5e-69 	222.3 	5.7e-41 	129.0	
RIFIN-B.hmm 	PfNF166_000006300 	3.7e-100 	323.4 	4.5e-100 	323.1	
STEVOR1.hmm 	PfNF166_000006300 	3.8e-06 	14.2 	8.5e-05 	9.8	
STEVOR1.hmm 	PfNF166_000006400 	1.3e-13 	38.7 	1.3e-08 	22.3	
RIFIN-B.hmm 	PfNF166_000006400 	5.1e-103 	332.8 	7.8e-54 	171.2	
RIFIN-A.hmm 	PfNF166_000006400 	5e-152 	494.2 	5.6e-152 	494.1	
RIFIN-A.hmm 	PfNF166_000006500 	1.7e-97 	314.9 	9.7e-59 	187.5	
STEVOR1.hmm 	PfNF166_000006500 	3.6e-13 	37.3 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfNF166_000006500 	8.1e-137 	443.9 	9.4e-137 	443.7	
STEVOR1.hmm 	PfNF166_000006600 	3.2e-08 	21.1 	2e-06 	15.2	
RIFIN-B.hmm 	PfNF166_000006600 	4.6e-98 	316.5 	3.6e-56 	178.8	
RIFIN-A.hmm 	PfNF166_000006600 	7.7e-152 	493.6 	8.7e-152 	493.5	
RIFIN-B.hmm 	PfNF166_000006700 	1.6e-105 	341.0 	3.6e-59 	188.7	
STEVOR1.hmm 	PfNF166_000006700 	3.5e-14 	40.6 	7.3e-09 	23.2	
RIFIN-A.hmm 	PfNF166_000006700 	3.9e-155 	504.5 	4.4e-155 	504.3	
RIFIN-A.hmm 	PfNF166_000007700 	1.3e-159 	519.2 	1.4e-159 	519.1	
RIFIN-B.hmm 	PfNF166_000007700 	1.8e-116 	377.0 	1.3e-64 	206.6	
STEVOR1.hmm 	PfNF166_000007700 	1e-13 	39.2 	2e-09 	25.0	
STEVOR1.hmm 	PfNF166_000008000 	1.8e-09 	25.2 	6.5e-07 	16.8	
RIFIN-A.hmm 	PfNF166_000008000 	5.2e-139 	451.4 	5.9e-139 	451.3	
RIFIN-B.hmm 	PfNF166_000008000 	6.9e-94 	302.8 	8.8e-49 	154.6	
RIFIN-A.hmm 	PfNF166_000008200 	2.1e-07 	18.6 	6e-06 	13.9	
STEVOR1.hmm 	PfNF166_000008200 	3.2e-168 	546.5 	3.6e-168 	546.3	
RIFIN-B.hmm 	PfNF166_000008200 	4.8e-10 	27.3 	2.9e-09 	24.7	
RIFIN-B.hmm 	PfNF166_000008300 	1.2e-133 	433.5 	1.3e-133 	433.3	
STEVOR1.hmm 	PfNF166_000008300 	1.8e-13 	38.3 	3.2e-10 	27.7	
RIFIN-A.hmm 	PfNF166_000008300 	5.5e-91 	293.5 	1.7e-52 	166.9	
RIFIN-A.hmm 	PfNF166_000008400 	2.6e-136 	442.6 	2.9e-136 	442.4	
STEVOR1.hmm 	PfNF166_000008400 	2.7e-18 	54.1 	2.1e-12 	34.8	
RIFIN-B.hmm 	PfNF166_000008400 	3.2e-103 	333.5 	1.5e-54 	173.5	
RIFIN-B.hmm 	PfNF166_000009100 	2.8e-115 	373.1 	2.1e-64 	205.9	
STEVOR1.hmm 	PfNF166_000009100 	3.9e-12 	33.9 	1.9e-08 	21.8	
RIFIN-A.hmm 	PfNF166_000009100 	4.6e-156 	507.5 	5.2e-156 	507.4	
STEVOR1.hmm 	PfNF166_000009200 	1.2e-10 	29.1 	7e-08 	20.0	
RIFIN-A.hmm 	PfNF166_000009200 	3.8e-98 	317.1 	8.6e-56 	177.8	
RIFIN-B.hmm 	PfNF166_000009200 	4.5e-145 	471.0 	5.3e-145 	470.8	
RIFIN-B.hmm 	PfNF166_000009300 	1.1e-101 	328.4 	7.2e-54 	171.3	
STEVOR1.hmm 	PfNF166_000009300 	3.9e-12 	33.9 	4.6e-08 	20.6	
RIFIN-A.hmm 	PfNF166_000009300 	8.7e-148 	480.3 	9.7e-148 	480.1	
STEVOR1.hmm 	PfNF166_000009400 	2.5e-12 	34.6 	1e-08 	22.7	
RIFIN-A.hmm 	PfNF166_000009400 	5.3e-145 	471.1 	6e-145 	471.0	
RIFIN-B.hmm 	PfNF166_000009400 	6.8e-108 	348.8 	1.5e-58 	186.7	
RIFIN-B.hmm 	PfNF166_000009600 	2.7e-99 	320.6 	6.7e-53 	168.1	
STEVOR1.hmm 	PfNF166_000009600 	5.3e-17 	49.9 	9.8e-12 	32.6	
RIFIN-A.hmm 	PfNF166_000009600 	7.6e-134 	434.5 	8.5e-134 	434.3	
RIFIN-B.hmm 	PfNF166_000017800 	2.5e-98 	317.4 	3.2e-54 	172.4	
STEVOR1.hmm 	PfNF166_000017800 	5.5e-10 	26.9 	9.7e-08 	19.5	
RIFIN-A.hmm 	PfNF166_000017800 	8.5e-144 	467.2 	9.6e-144 	467.0	
RIFIN-A.hmm 	PfNF166_000018000 	1.1e-152 	496.4 	1.2e-152 	496.2	
RIFIN-B.hmm 	PfNF166_000018000 	1.4e-114 	370.8 	2e-70 	225.7	
STEVOR1.hmm 	PfNF166_000018000 	7.1e-12 	33.1 	6.4e-08 	20.1	
RIFIN-A.hmm 	PfNF166_000018100 	1.4e-154 	502.7 	1.6e-154 	502.5	
STEVOR1.hmm 	PfNF166_000018100 	1.7e-09 	25.3 	1.8e-07 	18.6	
RIFIN-B.hmm 	PfNF166_000018100 	6.4e-110 	355.5 	4.1e-63 	201.7	
STEVOR1.hmm 	PfNF166_000018200 	1.3e-170 	554.3 	1.5e-170 	554.1	
RIFIN-B.hmm 	PfNF166_000018200 	1.9e-16 	48.3 	5.3e-12 	33.7	
RIFIN-A.hmm 	PfNF166_000018200 	7.4e-14 	39.9 	5.6e-11 	30.4	
STEVOR1.hmm 	PfNF166_000018300 	1.2e-15 	45.5 	2.3e-10 	28.1	
RIFIN-A.hmm 	PfNF166_000018300 	2.4e-139 	452.5 	2.7e-139 	452.4	
RIFIN-B.hmm 	PfNF166_000018300 	9.1e-106 	341.8 	1.1e-58 	187.2	
