Cluster	Gene
PF3D7_0101700	PfKH02_010019600,PfKH02_010019700
PF3D7_0101700	PfGB4_010005800,PfGB4_010005900
PF3D7_0110600	PfDd2_010014000,PfDd2_010014100
PF3D7_0110600	Pf7G8_010014400,Pf7G8_010014500
PF3D7_0110600	PfHB3_010014400,PfHB3_010014500
PF3D7_0110600	Pf7G8-2_000044300,Pf7G8-2_000044400
PF3D7_0113600	Pf7G8-2_000047100,Pf7G8-2_000047200,Pf7G8-2_000047300
PF3D7_0114400	PfKH02_010017900,PfKH02_010018000
PF3D7_0114400	PfKH01_010019100,PfKH01_010019200,PfKH01_010019300
PF3D7_0114400	PfGA01_010018200,PfGA01_010018300
PF3D7_0114400	PfSN01_010016700,PfSN01_010016800
PF3D7_0115000	PfNF54_010019500,PfNF54_010019300,PfNF54_010019400
PF3D7_0200800	PfKE01_060006300,PfKE01_060006400
PF3D7_0200800	PfGB4_000013100,PfGB4_000013200
PF3D7_0200800	PfSN01_070006000,PfSN01_070006100
PF3D7_0222900	PfNF166_070006000,PfNF166_070006100
PF3D7_0222900	PfNF54_020026900,PfNF54_020027000
PF3D7_0300300	PfKH01_120005700,PfKH01_120005800
PF3D7_0300300	PfGA01_010020000,PfGA01_010020100
PF3D7_0302200	PfNF166_030005700,PfNF166_030005500
PF3D7_0302300	PfNF166_030005800:pseudogene,PfNF166_030005600
PF3D7_0324700	PfGA01_140005700,PfGA01_140005800
PF3D7_0324700	PfNF54_030030000,PfNF54_030030100
PF3D7_0401700	Pf7G8-2_000094900,Pf7G8-2_000095000
PF3D7_0401700	PfGN01_040006600,PfGN01_040006700
PF3D7_0401700	PfNF166_040007900,PfNF166_040008000
PF3D7_0402500	PfNF54_040007900,PfNF54_040008000
PF3D7_0402800	Pf7G8-2_000096100,Pf7G8-2_000096200,Pf7G8-2_000096300
PF3D7_0402800	PfNF166_040009100,PfNF166_040009200,PfNF166_040009300
PF3D7_0402800	PfNF54_040008300,PfNF54_040008400,PfNF54_040008500
PF3D7_0412700	PfNF54_040018200:pseudogene,PfNF54_040018300:pseudogene
PF3D7_0412900	PfGN01_040018200,PfGN01_040018300
PF3D7_0412900	PfNF54_040018400,PfNF54_040018500
PF3D7_0413400	Pf7G8-2_000106200,Pf7G8-2_000106300
PF3D7_0413400	PfGB4_040018600,PfGB4_040018700
PF3D7_0413400	PfGN01_040018700,PfGN01_040018800
PF3D7_0413400	PfNF54_040018900,PfNF54_040019000,PfNF54_040019100
PF3D7_0420900	PfNF54_040026500:pseudogene,PfNF54_040026600:pseudogene
PF3D7_0425000	PfKH02_040030300,PfKH02_040030400
PF3D7_0425000	Pf7G8-2_000117100,Pf7G8-2_000117200
PF3D7_0425000	PfGB4_040029600,PfGB4_040029700
PF3D7_0425000	PfKH01_040031300,PfKH01_040031400
