query_gene	ref_gene	class_code	status	identity	query_length	ref_length	length_diff	length_ratio
PfNF135_000046600	PF3D7_API04200	e	compared	25.66137566137566	466	959	493.0	0.4859228362877998
PfNF135_000046600	PF3D7_API04100	e	compared	46.82203389830508	466	227	239.0	0.4871244635193133
PfNF135_000046700	PF3D7_API04000	o	query_missing		0	121		
PfNF135_000047000	PF3D7_API03500	o	compared	15.782664941785251	766	129	637.0	0.16840731070496084
PfNF135_000048000	PF3D7_API02500	o	compared	20.952380952380953	91	36	55.0	0.3956043956043956
PfNF135_000048100	PF3D7_API02200	o	compared	30.86816720257235	239	168	71.0	0.702928870292887
PfNF135_000048300	PF3D7_API01900	o	compared	30.612244897959183	118	74	44.0	0.6271186440677966
PfNF135_000048700	PF3D7_API01400	o	compared	23.552123552123554	245	75	170.0	0.30612244897959184
PfNF135_010008400	PF3D7_0103900	k	compared	100.0	575	575	0.0	1.0
PfNF135_010008900	PF3D7_0104400	k	compared	100.0	535	535	0.0	1.0
PfNF135_010009400	PF3D7_0105100	k	compared	100.0	143	143	0.0	1.0
PfNF135_010010000	PF3D7_0105700	k	compared	100.0	3074	3074	0.0	1.0
PfNF135_010010200	PF3D7_0105900	k	compared	100.0	448	448	0.0	1.0
PfNF135_010011700	PF3D7_0107400	k	compared	100.0	153	153	0.0	1.0
PfNF135_010012500	PF3D7_0108300	k	compared	100.0	2198	2198	0.0	1.0
PfNF135_010012700	PF3D7_0108500	k	compared	100.0	179	179	0.0	1.0
PfNF135_010013100	PF3D7_0109000	k	compared	100.0	224	224	0.0	1.0
PfNF135_010014200	PF3D7_0110000	k	compared	100.0	234	234	0.0	1.0
PfNF135_010014400	PF3D7_0110200	m	compared	69.72972972972973	171	143	28.0	0.8362573099415205
PfNF135_010015400	PF3D7_0111400	k	compared	100.0	716	716	0.0	1.0
PfNF135_010016200	PF3D7_0112200	k	compared	100.0	1822	1822	0.0	1.0
PfNF135_010017600:pseudogene	PF3D7_0113800	j	query_missing		0	2895		
PfNF135_010017800	PF3D7_0114000	o	compared	97.50819672131148	1525	1487	38.0	0.9750819672131148
PfNF135_010006000:pseudogene	PF3D7_0300400	o	query_missing		0	278		
PfNF135_010007400	PF3D7_0102900	k	compared	100.0	626	626	0.0	1.0
PfNF135_010008700	PF3D7_0104200	k	compared	100.0	466	466	0.0	1.0
PfNF135_010009000	PF3D7_0104500	k	compared	100.0	277	277	0.0	1.0
PfNF135_010010400	PF3D7_0106100	k	compared	100.0	383	383	0.0	1.0
