RIFIN-B.hmm 	Pf7G8_000005100 	1.4e-87 	282.0 	1.2e-45 	144.3	
RIFIN-A.hmm 	Pf7G8_000005100 	1.7e-130 	423.5 	2e-130 	423.2	
STEVOR1.hmm 	Pf7G8_000005100 	7e-15 	42.9 	1.1e-10 	29.2	
RIFIN-A.hmm 	Pf7G8_010005500 	2.5e-157 	511.7 	2.8e-157 	511.5	
RIFIN-B.hmm 	Pf7G8_010005500 	6.8e-109 	352.1 	1e-59 	190.5	
STEVOR1.hmm 	Pf7G8_010005500 	8.2e-11 	29.6 	4.8e-07 	17.2	
RIFIN-B.hmm 	Pf7G8_010005700 	1.9e-101 	327.7 	3.9e-57 	182.0	
STEVOR1.hmm 	Pf7G8_010005700 	1e-12 	35.8 	3e-08 	21.2	
RIFIN-A.hmm 	Pf7G8_010005700 	1e-144 	470.2 	1.2e-144 	470.0	
RIFIN-A.hmm 	Pf7G8_010005800 	1.1e-142 	463.6 	1.2e-142 	463.4	
STEVOR1.hmm 	Pf7G8_010005800 	2.8e-12 	34.4 	4.4e-08 	20.6	
RIFIN-B.hmm 	Pf7G8_010005800 	4.7e-102 	329.6 	6.7e-57 	181.2	
RIFIN-B.hmm 	Pf7G8_010005900 	4.8e-95 	306.6 	5.3e-53 	168.4	
RIFIN-A.hmm 	Pf7G8_010005900 	6.9e-136 	441.2 	7.8e-136 	441.0	
STEVOR1.hmm 	Pf7G8_010005900 	8.6e-14 	39.4 	7.5e-10 	26.4	
STEVOR1.hmm 	Pf7G8_010006000 	2.3e-12 	34.7 	6e-08 	20.2	
RIFIN-A.hmm 	Pf7G8_010006000 	8.2e-154 	500.1 	9.4e-154 	499.9	
RIFIN-B.hmm 	Pf7G8_010006000 	8.4e-113 	364.9 	1.3e-67 	216.5	
RIFIN-A.hmm 	Pf7G8_010006100 	1.2e-99 	322.0 	3e-54 	172.7	
STEVOR1.hmm 	Pf7G8_010006100 	1.7e-15 	44.9 	6.2e-10 	26.7	
RIFIN-B.hmm 	Pf7G8_010006100 	6.2e-149 	483.7 	6.9e-149 	483.5	
STEVOR1.hmm 	Pf7G8_010018600 	1.2e-14 	42.2 	3.1e-09 	24.4	
RIFIN-B.hmm 	Pf7G8_010018600 	1.6e-132 	429.8 	1.8e-132 	429.6	
RIFIN-A.hmm 	Pf7G8_010018600 	7.1e-92 	296.4 	6.5e-54 	171.6	
RIFIN-B.hmm 	Pf7G8_020005700 	3.7e-95 	307.0 	2.2e-49 	156.6	
