	Genome	Gene	Type	Cluster	Occupancy
0	3D7	PF3D7_0100400	RIFIN-A	PF3D7_0100400	5
1	3D7	PF3D7_0100600	RIFIN-B	PF3D7_0100600	3
2	3D7	PF3D7_0100800	RIFIN-A	PF3D7_0100800	2
3	3D7	PF3D7_0100900	RIFIN-A	PF3D7_0100900	2
4	3D7	PF3D7_0101000	RIFIN-A	PF3D7_0101000	2
5	3D7	PF3D7_0101600	RIFIN-A	PF3D7_0101600	3
6	3D7	PF3D7_0101900	RIFIN-B	PF3D7_0101900	2
7	3D7	PF3D7_0114700	RIFIN-B	PF3D7_0114700	16
8	3D7	PF3D7_0115200	RIFIN-A	PF3D7_0115200	6
9	3D7	PF3D7_0115300	RIFIN-B	PF3D7_0115300	2
10	3D7	PF3D7_0115600	RIFIN-A	PF3D7_0115600	2
11	3D7	PF3D7_0200200	RIFIN-A	PF3D7_0200200	4
12	3D7	PF3D7_0200500	RIFIN-A	PF3D7_0200500	2
13	3D7	PF3D7_0200600	RIFIN-A	PF3D7_0200600	2
14	3D7	PF3D7_0200700	RIFIN-A	PF3D7_0200700	4
15	3D7	PF3D7_0201000	RIFIN-B	PF3D7_0201000	3
16	3D7	PF3D7_0201200	RIFIN-A	PF3D7_0201200	10
17	3D7	PF3D7_0222500	RIFIN-B	PF3D7_0222500	2
18	3D7	PF3D7_0222600	RIFIN-A	PF3D7_0222600	2
19	3D7	PF3D7_0222700	RIFIN-B	PF3D7_0222700	2
20	3D7	PF3D7_0223100	RIFIN-A	PF3D7_0223100	4
21	3D7	PF3D7_0223200	RIFIN-B	PF3D7_0223200	2
22	3D7	PF3D7_0223400	RIFIN-A	PF3D7_0223400	7
23	3D7	PF3D7_0300200	RIFIN-A	PF3D7_0300200	2
24	3D7	PF3D7_0300500	RIFIN-B	PF3D7_0300500	2
25	3D7	PF3D7_0300700	RIFIN-A	PF3D7_0300700	8
26	3D7	PF3D7_0300800	RIFIN-A	PF3D7_0300800	11
27	3D7	PF3D7_0324400	RIFIN-A	PF3D7_0324400	2
28	3D7	PF3D7_0324500	RIFIN-B	PF3D7_0324500	3
29	3D7	PF3D7_0324800	RIFIN-A	PF3D7_0324800	2
30	3D7	PF3D7_0400300	RIFIN-A	PF3D7_0400300	2
31	3D7	PF3D7_0400500	RIFIN-A	PF3D7_0400500	2
32	3D7	PF3D7_0400700	RIFIN-A	PF3D7_0400700	4
33	3D7	PF3D7_0400900	RIFIN-A	PF3D7_0400900	2
34	3D7	PF3D7_0401000	RIFIN-B	PF3D7_0401000	2
35	3D7	PF3D7_0401200	RIFIN-A	PF3D7_0401200	2
36	3D7	PF3D7_0401300	RIFIN-A	PF3D7_0401300	2
37	3D7	PF3D7_0401400	RIFIN-A	PF3D7_0401400	2
38	3D7	PF3D7_0413200	RIFIN-A	PF3D7_0413200	10
39	3D7	PF3D7_0413300	RIFIN-A	PF3D7_0413300	10
40	3D7	PF3D7_0421200	RIFIN-B	PF3D7_0421200	2
41	3D7	PF3D7_0425700	RIFIN-A	PF3D7_0425700	5
42	3D7	PF3D7_0425900	RIFIN-A	PF3D7_0425900	6
43	3D7	PF3D7_0500400	RIFIN-A	PF3D7_0500400	6
44	3D7	PF3D7_0500500	RIFIN-B	PF3D7_0500500	12
45	3D7	PF3D7_0532900	RIFIN-B	PF3D7_0532900	15
46	3D7	PF3D7_0600300	RIFIN-A	PF3D7_0600300	4
47	3D7	PF3D7_0600500	RIFIN-A	PF3D7_0600500	2
48	3D7	PF3D7_0600700	RIFIN-A	PF3D7_0600700	2
49	3D7	PF3D7_0617700	RIFIN-A	PF3D7_0617700	6
50	3D7	PF3D7_0631800	RIFIN-B	PF3D7_0631800	2
51	3D7	PF3D7_0632000	RIFIN-A	PF3D7_0632000	7
52	3D7	PF3D7_0632100	RIFIN-A	PF3D7_0632100	2
53	3D7	PF3D7_0632200	RIFIN-A	PF3D7_0632200	2
54	3D7	PF3D7_0632300	RIFIN-B	PF3D7_0632300	2
55	3D7	PF3D7_0632400	RIFIN-A	PF3D7_0632400	2
56	3D7	PF3D7_0632700	RIFIN-A	PF3D7_0632700	9
57	3D7	PF3D7_0700200	RIFIN-A	PF3D7_0700200	5
58	3D7	PF3D7_0700300	RIFIN-A	PF3D7_0700300	8
59	3D7	PF3D7_0700500	RIFIN-A	PF3D7_0700500	3
